StopNumber	epaper	installdate	model
40179	1	2015-02-08	model123
40189	1	2015-02-07	model123
50069	1	2015-02-06	model123
50119	1	2015-02-05	model123
50129	1	2015-02-04	model123
50159	1	2015-02-03	model123
50211	1	2015-02-01	model123
50221	1	2015-02-02	model123
52099	1	2015-06-13	model789
52109	1	2015-06-14	model789
52129	1	2015-06-15	model789
52451	1	2015-06-16	model789
04121	1	2015-06-17	model789
04143	1	2015-06-18	model789
04222	1	2015-06-19	model789
04223	1	2015-06-20	model789
05012	1	2015-06-19	model789
05022	1	2015-06-18	model789
05023	1	2015-06-17	model789
08031	1	2015-06-16	model789
08041	1	2015-06-15	model789
08111	1	2015-06-14	model789
08121	1	2015-06-13	model789
09011	1	2015-06-12	model789
09023	1	2015-06-11	model789
09212	1	2015-06-13	model789
10018	1	2015-06-10	model789
10039	1	2015-06-13	model789
10049	1	2015-06-13	model789
10391	1	2015-02-06	model123
14029	1	2014-03-09	model123
14051	1	2015-06-13	model789
14131	0	\N	\N
14151	0	\N	\N
14229	0	\N	\N
14239	0	\N	\N
14279	0	\N	\N
14299	0	\N	\N
14331	0	\N	\N
14341	0	\N	\N
14351	0	\N	\N
14391	0	\N	\N
14491	0	\N	\N
40121	0	\N	\N
40171	0	\N	\N
40181	0	\N	\N
50061	0	\N	\N
50111	0	\N	\N
50121	0	\N	\N
50229	0	\N	\N
50991	0	\N	\N
02049	0	\N	\N
03217	1	2015-11-11	model456
04179	1	2014-09-09	model789
04189	1	2015-04-04	model456
05649	1	2014-04-11	model456
07517	1	2014-04-12	model456
07539	1	2014-04-13	model456
07571	1	2014-04-14	model456
10081	1	2014-04-15	model456
10361	1	2014-04-16	model456
14031	1	2014-04-11	model456
14041	1	2014-04-12	model456
14061	1	2014-04-13	model456
14071	1	2014-04-14	model456
14081	1	2014-04-15	model456
14101	1	2014-04-16	model456
14121	1	2014-04-17	model456
14141	1	2014-04-18	model456
14381	1	2014-04-19	model456
14389	1	2014-04-11	model456
40019	1	2015-06-13	model789
40109	1	2015-06-12	model789
50029	1	2015-06-11	model789
50038	1	2015-06-12	model789
50049	1	2015-06-13	model789
50059	1	2015-06-14	model789
50079	1	2015-06-15	model789
50089	1	2015-06-16	model789
50169	1	2015-06-17	model789
50179	1	2015-06-18	model789
50189	1	2015-06-19	model789
50199	1	2015-06-20	model789
50209	1	2015-06-21	model789
50321	1	2015-06-19	model789
50351	1	2015-06-18	model789
03021	1	2015-06-17	model789
03151	1	2015-06-16	model789
03223	1	2015-06-15	model789
04111	1	2015-06-14	model789
05641	1	2015-06-13	model789
07011	1	2015-06-12	model789
07021	1	2015-06-13	model789
07031	1	2015-06-13	model789
07111	1	2015-06-13	model789
08079	1	2015-07-14	model123
10089	1	2015-07-12	model123
10369	1	2015-07-13	model123
14039	1	2015-07-15	model123
14049	1	2015-07-16	model123
14069	1	2015-07-17	model123
14089	1	2015-07-18	model123
14109	1	2015-07-19	model123
14119	1	2015-07-18	model123
14129	1	2015-07-17	model123
50021	1	2015-07-16	model123
50031	1	2015-07-15	model123
50041	1	2015-07-14	model123
50071	1	2015-07-13	model123
50081	1	2015-07-12	model123
50161	1	2015-07-11	model123
50171	1	2015-07-10	model123
50191	1	2015-07-14	model123
50201	1	2015-07-13	model123
50251	1	2015-07-11	model123
50261	1	2015-07-13	model123
50301	1	2015-07-15	model123
10101	1	2014-04-11	model456
10111	1	2015-05-12	model789
10131	1	2015-06-13	model789
10659	1	2015-07-14	model123
11021	1	2014-08-15	model123
11031	1	2015-09-16	model456
11041	1	2015-12-03	model456
11051	1	2015-12-04	model456
11061	1	2015-12-05	model456
11071	1	2015-12-06	model456
11081	1	2015-12-07	model456
11091	1	2015-12-08	model456
11101	1	2015-12-09	model456
11111	1	2015-12-10	model456
40099	1	2015-12-11	model456
40231	1	2015-12-12	model456
41019	1	2015-12-13	model456
41029	1	2015-12-14	model456
41101	1	2015-12-15	model456
41111	1	2015-12-16	model456
51091	1	2015-12-17	model456
51101	1	2015-12-18	model456
52051	1	2015-12-19	model456
52061	1	2015-12-20	model456
52071	1	2015-12-21	model456
52181	1	2015-12-22	model456
52231	1	2015-12-23	model456
52271	1	2015-12-24	model456
52369	1	2015-12-25	model456
63061	1	2015-12-26	model456
64011	1	2015-12-27	model456
66061	1	2015-12-28	model456
66071	1	2015-12-29	model456
66081	1	2015-12-30	model456
10119	1	2015-04-02	model456
10139	1	2015-04-03	model456
10651	1	2015-04-04	model456
11019	1	2015-04-05	model456
11029	1	2015-04-06	model456
11039	1	2015-04-07	model456
11049	1	2015-04-08	model456
11059	1	2015-04-09	model456
11069	1	2015-04-10	model456
11079	1	2015-11-20	model456
11089	1	2014-10-10	model456
11099	1	2015-09-03	model123
11109	0	\N	\N
11119	0	\N	\N
40091	0	\N	\N
40239	0	\N	\N
40249	0	\N	\N
41011	0	\N	\N
41021	0	\N	\N
41109	0	\N	\N
41119	0	\N	\N
51099	0	\N	\N
52059	0	\N	\N
52069	0	\N	\N
52079	0	\N	\N
52189	0	\N	\N
52239	0	\N	\N
52279	0	\N	\N
52361	0	\N	\N
63069	0	\N	\N
64019	0	\N	\N
66069	0	\N	\N
66079	0	\N	\N
66089	0	\N	\N
11231	0	\N	\N
11261	0	\N	\N
11271	1	2014-05-23	model123
11281	1	2014-12-29	model789
11291	1	2015-11-27	model456
12021	1	2015-02-01	model789
12031	1	2015-02-02	model789
12041	1	2015-02-03	model789
12051	1	2015-02-04	model789
12111	1	2015-02-05	model789
17109	1	2015-02-06	model789
17119	1	2015-02-07	model789
17151	1	2015-02-08	model789
17161	1	2015-02-09	model789
17171	1	2015-02-10	model789
40259	1	2015-02-11	model789
40269	1	2015-02-12	model789
41129	1	2015-02-13	model789
41139	1	2015-02-14	model789
41149	1	2015-02-15	model789
41159	1	2015-02-16	model789
51079	1	2015-02-17	model789
51119	1	2015-02-18	model789
53019	1	2015-02-19	model789
53029	1	2015-02-20	model789
53039	1	2015-02-21	model789
53049	1	2015-02-22	model789
53059	1	2015-02-23	model789
53069	1	2015-02-24	model789
53079	1	2015-02-25	model789
53089	1	2015-02-26	model789
53099	1	2015-02-27	model789
54069	1	2015-02-28	model789
54219	1	2014-01-02	model789
54229	1	2014-01-03	model789
54239	1	2014-01-04	model789
54248	1	2014-01-05	model789
54269	1	2014-01-06	model789
54279	1	2014-01-07	model789
54289	1	2015-04-22	model456
54299	1	2014-05-21	model789
54309	1	2014-03-01	model123
56269	1	2014-03-02	model123
63319	1	2014-03-03	model123
63379	1	2014-03-04	model123
63389	1	2014-03-05	model123
63399	1	2014-03-06	model123
64339	1	2014-03-07	model123
64529	1	2014-03-08	model123
64551	1	2014-03-09	model123
66109	1	2014-03-10	model123
66339	1	2014-03-11	model123
66349	1	2014-03-12	model123
11239	1	2014-03-13	model123
11269	1	2014-03-14	model123
11279	1	2014-03-15	model123
11289	1	2014-03-16	model123
11299	1	2014-03-17	model123
12029	1	2014-03-18	model123
12039	1	2014-03-19	model123
12049	1	2014-03-20	model123
12059	1	2014-03-21	model123
12119	1	2014-03-22	model123
17101	1	2014-03-23	model123
17159	1	2014-03-24	model123
17239	1	2014-03-25	model123
40251	1	2014-03-26	model123
40261	1	2014-03-27	model123
41121	1	2014-03-28	model123
41131	1	2014-03-29	model123
41141	1	2015-10-11	model123
41151	1	2014-11-12	model123
51071	1	2015-12-13	model123
51111	1	2015-09-01	model456
53011	1	2015-09-02	model456
53021	1	2015-09-03	model456
53041	1	2015-09-04	model456
53051	1	2015-09-05	model456
53061	1	2015-09-06	model456
53071	1	2015-09-07	model456
53081	1	2015-09-08	model456
53091	1	2015-09-09	model456
54061	1	2015-09-10	model456
54211	1	2015-09-11	model456
54221	1	2014-01-10	model789
54231	1	2015-02-11	model789
54241	1	2014-03-12	model123
54261	1	2015-02-13	model456
54271	1	2014-07-01	model456
54281	1	2014-07-02	model456
54291	1	2014-07-03	model456
54301	1	2014-07-04	model456
56261	1	2014-07-05	model456
63311	1	2014-07-06	model456
63371	1	2014-07-07	model456
63381	1	2014-07-08	model456
63391	1	2014-07-09	model456
64331	1	2014-07-10	model456
64521	1	2014-07-11	model456
64559	1	2015-04-05	model456
66101	1	2014-05-06	model456
66331	1	2015-06-07	model123
66341	1	2015-07-08	model123
03041	1	2014-08-09	model789
06141	1	2015-08-01	model456
06151	1	2015-08-02	model456
06161	1	2015-08-03	model456
06171	1	2015-08-04	model456
10221	1	2015-08-05	model456
10231	1	2015-08-06	model456
10241	1	2015-08-07	model456
10261	1	2015-08-08	model456
10271	1	2015-08-09	model456
10281	1	2015-08-10	model456
10291	1	2015-08-11	model456
11131	1	2015-08-12	model456
11141	1	2015-08-13	model456
11151	1	2015-08-14	model456
51019	1	2015-08-15	model456
05129	1	2015-08-16	model456
05319	1	2015-08-17	model456
06149	1	2015-08-18	model456
06159	1	2015-08-19	model456
06169	1	2015-07-08	model456
06189	1	2014-10-11	model789
10229	1	2015-09-10	model123
10239	1	2014-08-09	model123
10249	0	\N	\N
10269	0	\N	\N
10279	0	\N	\N
10289	0	\N	\N
10299	0	\N	\N
11139	0	\N	\N
11149	0	\N	\N
11159	0	\N	\N
51109	0	\N	\N
01029	0	\N	\N
01039	0	\N	\N
01139	0	\N	\N
01229	0	\N	\N
01329	1	2015-02-14	model789
01339	1	2014-03-26	model456
05189	1	2015-11-21	model123
05239	1	2014-10-01	model456
05259	1	2014-10-02	model456
10021	1	2014-10-03	model456
10051	1	2014-10-04	model456
10061	1	2014-10-05	model456
10071	1	2014-10-06	model456
10091	1	2014-10-07	model456
10501	1	2014-10-08	model456
11519	1	2014-10-09	model456
16091	1	2014-10-10	model456
17121	1	2014-10-11	model456
17131	1	2014-10-12	model456
17141	1	2014-10-13	model456
18041	1	2014-10-14	model456
18071	1	2014-10-15	model456
18101	1	2014-02-23	model456
18131	1	2014-04-05	model789
20011	1	2014-12-17	model456
20021	1	2014-04-01	model789
20031	1	2014-04-02	model789
20051	1	2014-04-03	model789
20271	1	2014-04-04	model789
28221	1	2014-04-05	model789
28231	1	2014-04-06	model789
28241	1	2014-04-07	model789
28439	1	2014-04-08	model789
80029	1	2014-04-09	model789
80039	1	2014-04-10	model789
80049	1	2014-04-11	model789
80111	1	2014-04-12	model789
80259	1	2014-04-13	model789
81141	1	2014-04-14	model789
81151	1	2014-04-15	model789
81161	1	2014-04-16	model789
82071	1	2015-02-23	model789
82081	1	2015-03-27	model123
82091	1	2015-04-11	model123
82231	1	2015-01-01	model123
84129	1	2015-01-02	model123
84139	1	2015-01-03	model123
84151	1	2015-01-04	model123
92049	1	2015-01-05	model123
92059	1	2015-01-06	model123
92069	1	2015-01-07	model123
92079	1	2015-01-08	model123
92089	1	2015-01-09	model123
92161	1	2015-01-10	model123
92241	1	2015-01-11	model123
93019	1	2015-01-12	model123
93029	1	2015-01-13	model123
93039	1	2015-01-14	model123
93049	1	2015-01-15	model123
93131	1	2015-01-16	model123
93201	1	2015-01-17	model123
01013	1	2015-01-18	model123
01112	1	2015-01-19	model123
01121	1	2015-01-20	model123
04142	1	2015-01-21	model123
04151	1	2015-01-22	model123
05013	1	2015-01-23	model123
10059	1	2015-01-24	model123
10069	1	2015-01-25	model123
10079	1	2015-01-26	model123
10099	1	2015-01-27	model123
10109	1	2015-01-28	model123
11511	1	2015-01-29	model123
16099	1	2015-01-30	model123
17129	1	2014-07-01	model123
17139	1	2014-07-02	model123
17149	1	2015-01-24	model123
18049	1	2015-10-13	model789
18079	1	2015-08-14	model789
18109	0	\N	\N
20019	0	\N	\N
20029	0	\N	\N
20039	0	\N	\N
20059	0	\N	\N
28229	0	\N	\N
28239	0	\N	\N
28249	0	\N	\N
28301	0	\N	\N
28431	0	\N	\N
80011	0	\N	\N
80031	0	\N	\N
80051	0	\N	\N
80119	0	\N	\N
80251	0	\N	\N
81129	1	2014-07-09	model456
81139	1	2014-10-14	model456
81149	1	2015-12-03	model789
81159	1	2014-11-01	model123
81169	1	2014-11-02	model123
82079	1	2014-11-03	model123
82089	1	2014-11-04	model123
82099	1	2014-11-05	model123
82119	1	2014-11-06	model123
84121	1	2014-11-07	model123
84131	1	2014-11-08	model123
84159	1	2014-11-09	model123
92041	1	2014-11-10	model123
92051	1	2014-11-11	model123
92061	1	2014-11-12	model123
92071	1	2014-11-13	model123
92081	1	2014-11-14	model123
92169	1	2014-11-15	model123
92249	1	2014-11-16	model123
93011	1	2014-11-17	model123
93021	1	2014-11-18	model123
93031	1	2014-11-19	model123
93041	1	2014-11-20	model123
93139	1	2014-11-21	model123
07211	1	2014-11-22	model123
07221	1	2014-11-23	model123
07231	1	2014-11-24	model123
07319	1	2014-11-25	model123
07329	1	2014-11-26	model123
50239	1	2014-11-27	model123
50249	1	2014-11-28	model123
52049	1	2014-11-29	model123
52119	1	2014-11-30	model123
60051	1	2015-11-11	model123
60099	1	2014-01-31	model123
72019	1	2014-07-09	model456
72029	1	2014-12-03	model456
72069	1	2015-05-12	model789
72079	1	2015-02-17	model123
75059	1	2015-01-07	model789
75069	1	2014-11-01	model456
75349	1	2014-11-02	model456
76069	1	2014-11-03	model456
76139	1	2014-11-04	model456
76149	1	2014-11-05	model456
76209	1	2014-11-06	model456
76219	1	2014-11-07	model456
76229	1	2014-11-08	model456
76239	1	2014-11-09	model456
76249	1	2014-11-10	model456
78069	1	2014-11-11	model456
78071	1	2014-11-12	model456
78081	1	2014-11-13	model456
78109	1	2014-11-14	model456
80069	1	2014-11-15	model456
80089	1	2014-11-16	model456
80101	1	2014-11-17	model456
81029	1	2014-11-18	model456
81049	1	2014-11-19	model456
81069	1	2014-11-20	model456
82029	1	2014-11-21	model456
82049	1	2014-11-22	model456
82069	1	2014-11-23	model456
82109	1	2014-11-24	model456
83109	1	2014-11-25	model456
83119	1	2014-11-26	model456
84469	1	2014-11-27	model456
84479	1	2014-11-28	model456
84481	1	2014-11-29	model456
84491	1	2014-11-30	model456
84609	1	2015-10-02	model456
84619	1	2015-10-03	model456
84629	1	2014-12-11	model456
84639	1	2015-07-28	model456
98019	1	2015-02-20	model123
98099	0	\N	\N
50231	0	\N	\N
50331	0	\N	\N
50349	0	\N	\N
60059	0	\N	\N
60199	0	\N	\N
72011	0	\N	\N
72021	0	\N	\N
72061	0	\N	\N
72071	0	\N	\N
75051	0	\N	\N
75061	0	\N	\N
75341	0	\N	\N
76061	0	\N	\N
76131	1	2014-11-13	model123
76141	1	2015-02-23	model789
76201	1	2014-01-11	model789
76211	0	\N	\N
76221	0	\N	\N
76231	0	\N	\N
76241	0	\N	\N
78051	0	\N	\N
78061	0	\N	\N
78079	0	\N	\N
78089	0	\N	\N
78101	0	\N	\N
80071	0	\N	\N
80091	0	\N	\N
80109	0	\N	\N
81011	0	\N	\N
81031	1	2014-01-02	model123
81051	1	2014-06-17	model456
82011	1	2015-04-04	model789
82032	1	2014-12-10	model789
82061	1	2015-06-09	model456
83101	1	2015-10-02	model123
83111	1	2014-09-01	model456
84461	1	2014-09-02	model456
84471	1	2014-09-03	model456
84489	1	2014-09-04	model456
84499	1	2014-09-05	model456
84601	1	2014-09-06	model456
84611	1	2014-09-07	model456
84621	1	2014-09-08	model456
84631	1	2014-09-09	model456
98011	1	2014-09-10	model456
98091	1	2014-09-11	model456
28321	1	2014-09-12	model456
28329	1	2014-09-13	model456
28331	1	2014-09-14	model456
28339	1	2014-09-15	model456
28451	1	2014-09-16	model456
28459	1	2014-09-17	model456
28461	1	2014-09-18	model456
28471	1	2014-09-19	model456
28481	1	2014-09-20	model456
28631	1	2014-09-21	model456
28639	1	2014-09-22	model456
28641	1	2014-09-23	model456
28649	1	2014-09-24	model456
28651	1	2014-09-25	model456
28659	1	2014-09-26	model456
84031	1	2014-09-27	model456
84039	1	2014-09-28	model456
84041	1	2014-09-29	model456
84049	1	2015-08-01	model456
84051	1	2015-08-02	model456
84059	1	2015-08-03	model456
84061	1	2015-08-04	model456
84069	1	2015-08-05	model456
85091	1	2015-08-06	model456
85099	1	2015-08-07	model456
85101	1	2015-08-08	model456
85109	1	2015-08-09	model456
95161	1	2015-08-10	model456
95169	1	2014-12-21	model789
95171	1	2014-05-12	model123
95179	1	2014-02-02	model123
95181	0	\N	\N
95189	0	\N	\N
95191	0	\N	\N
96011	0	\N	\N
96019	0	\N	\N
96219	0	\N	\N
96221	0	\N	\N
96229	0	\N	\N
96231	0	\N	\N
96239	0	\N	\N
96241	0	\N	\N
96249	0	\N	\N
96271	0	\N	\N
78091	0	\N	\N
78099	1	2015-11-21	model456
78251	1	2015-10-29	model456
78259	1	2014-08-03	model123
78261	1	2014-10-01	model789
78269	1	2014-10-02	model789
78271	1	2014-10-03	model789
78279	1	2014-10-04	model789
76109	1	2014-10-05	model789
76191	1	2014-10-06	model789
84071	1	2014-10-07	model789
84081	1	2014-10-08	model789
84101	1	2014-10-09	model789
84111	1	2014-10-10	model789
84141	1	2014-10-11	model789
96029	1	2014-10-12	model789
96039	1	2014-10-13	model789
96129	1	2014-10-14	model789
96139	1	2014-10-15	model789
96149	1	2014-10-16	model789
96159	1	2014-10-17	model789
96169	1	2014-10-18	model789
96171	1	2014-10-19	model789
96209	1	2014-10-20	model789
96291	1	2014-10-21	model789
76101	1	2014-10-22	model789
76199	1	2014-10-23	model789
84079	1	2014-10-24	model789
84089	1	2014-10-25	model789
84109	1	2014-10-26	model789
84119	1	2014-10-27	model789
84149	1	2014-10-28	model789
96021	1	2014-10-29	model789
96031	1	2015-03-01	model789
96121	1	2015-03-02	model789
96131	1	2015-03-03	model789
96141	1	2015-03-04	model789
96151	1	2015-03-05	model789
96161	1	2015-03-06	model789
96179	1	2015-03-07	model789
96201	1	2015-04-04	model789
96299	1	2015-12-29	model456
55281	1	2014-11-09	model456
59011	1	2014-12-15	model123
59021	1	2014-05-01	model123
59031	1	2014-05-02	model123
59041	1	2014-05-03	model123
59051	1	2014-05-04	model123
59061	1	2014-05-05	model123
59671	1	2014-05-06	model123
65191	1	2014-05-07	model123
68119	1	2014-05-08	model123
76059	1	2014-05-09	model123
76071	1	2014-05-10	model123
76081	1	2014-05-11	model123
76091	1	2014-05-12	model123
77011	1	2014-05-13	model123
77021	1	2014-05-14	model123
77031	1	2014-05-15	model123
77041	1	2014-05-16	model123
77051	1	2014-05-17	model123
77231	1	2014-05-18	model123
77241	1	2014-05-19	model123
77281	1	2014-05-20	model123
77331	1	2014-05-21	model123
55289	1	2014-05-22	model123
59019	1	2014-05-23	model123
59029	1	2014-05-24	model123
59039	1	2014-05-25	model123
59049	1	2014-05-26	model123
59059	1	2014-05-27	model123
59069	1	2014-05-28	model123
59073	1	2014-05-29	model123
65199	1	2015-06-01	model123
68111	1	2015-06-02	model123
76051	1	2015-06-03	model123
76079	1	2015-06-04	model123
76089	1	2015-06-05	model123
76099	1	2015-06-06	model123
77019	1	2015-06-07	model123
77029	1	2015-06-08	model123
77039	1	2015-06-09	model123
77049	1	2015-06-10	model123
77059	1	2015-07-25	model123
77239	1	2014-05-23	model123
77249	1	2014-12-12	model789
77289	1	2014-10-10	model789
77339	1	2015-06-07	model456
78049	1	2015-01-23	model456
53129	1	2014-08-01	model456
53261	1	2014-08-02	model456
53271	1	2014-08-03	model456
53281	1	2014-08-04	model456
53299	1	2014-08-05	model456
53309	1	2014-08-06	model456
53319	1	2014-08-07	model456
53321	1	2014-08-08	model456
53331	1	2014-08-09	model456
53341	1	2014-08-10	model456
53351	1	2014-08-11	model456
53361	1	2014-08-12	model456
53371	1	2014-08-13	model456
53381	1	2014-08-14	model456
53391	1	2014-08-15	model456
53409	1	2014-08-16	model456
53419	1	2014-08-17	model456
01639	1	2014-08-18	model456
07518	1	2014-08-19	model456
07569	1	2014-08-20	model456
50019	1	2014-08-21	model456
52021	1	2014-08-22	model456
52031	1	2014-08-23	model456
53211	1	2014-08-24	model456
53221	1	2014-08-25	model456
53251	1	2014-08-26	model456
53279	1	2014-08-27	model456
53289	1	2014-08-28	model456
01631	1	2014-08-29	model456
02051	1	2015-11-01	model456
02061	1	2015-11-02	model456
02101	1	2015-11-14	model456
07561	1	2015-12-09	model456
40011	1	2014-01-07	model789
40101	0	\N	\N
50011	0	\N	\N
50051	0	\N	\N
51011	0	\N	\N
52039	0	\N	\N
53219	0	\N	\N
53229	0	\N	\N
53259	0	\N	\N
82221	0	\N	\N
84301	0	\N	\N
84309	0	\N	\N
84361	0	\N	\N
84369	0	\N	\N
84451	0	\N	\N
84459	0	\N	\N
84501	0	\N	\N
84511	0	\N	\N
01012	1	2015-08-23	model789
04168	1	2015-12-01	model123
06011	1	2014-10-06	model456
06029	1	2014-07-01	model789
06049	1	2014-07-02	model789
06051	1	2014-07-03	model789
10141	1	2014-07-04	model789
10149	1	2014-07-05	model789
10151	1	2014-07-06	model789
10161	1	2014-07-07	model789
10169	1	2014-07-08	model789
10171	1	2014-07-09	model789
10179	1	2014-07-10	model789
10181	1	2014-07-11	model789
10189	1	2014-07-12	model789
10191	1	2014-07-13	model789
10199	1	2014-07-14	model789
10401	1	2014-07-15	model789
10409	1	2014-07-16	model789
10411	1	2014-07-17	model789
10419	1	2014-07-18	model789
10421	1	2014-07-19	model789
10429	1	2014-07-20	model789
10451	1	2014-07-21	model789
10459	1	2014-07-22	model789
10481	1	2014-07-23	model789
10489	1	2014-07-24	model789
10599	1	2014-07-25	model789
70011	1	2014-07-26	model789
70019	1	2014-07-27	model789
70151	1	2014-07-28	model789
70161	1	2014-07-29	model789
70171	1	2015-11-20	model789
70181	1	2015-11-21	model789
70191	1	2015-11-22	model789
70201	1	2015-11-23	model789
70211	1	2015-11-24	model789
70221	1	2015-11-25	model789
70231	1	2015-11-26	model789
70241	1	2015-11-27	model789
70391	1	2015-11-28	model789
71091	1	2015-10-01	model789
71099	1	2015-10-02	model789
71101	1	2015-10-03	model789
71109	1	2015-10-04	model789
71111	1	2015-10-05	model789
71119	1	2015-10-06	model789
71131	1	2014-02-26	model123
71139	1	2015-01-29	model789
71161	1	2015-03-23	model789
71169	1	2015-09-12	model456
71201	1	2014-05-29	model456
71209	1	2014-02-16	model123
71211	1	2015-10-01	model123
71219	1	2015-10-02	model123
71221	1	2015-10-03	model123
71229	1	2015-10-04	model123
81081	1	2015-10-05	model123
81089	1	2015-10-06	model123
81091	1	2015-10-07	model123
81099	1	2015-10-08	model123
09022	1	2015-10-09	model123
09059	1	2015-10-10	model123
09111	1	2015-10-11	model123
09121	1	2015-10-12	model123
09131	1	2015-10-13	model123
09141	1	2015-10-14	model123
11201	1	2015-10-15	model123
11211	1	2015-10-16	model123
11221	1	2015-10-17	model123
13011	1	2015-10-18	model123
13021	1	2015-10-19	model123
17229	1	2015-10-20	model123
81131	1	2015-10-21	model123
83029	1	2015-10-22	model123
83049	1	2015-10-23	model123
83059	1	2015-10-24	model123
83079	1	2015-10-25	model123
83099	1	2015-10-26	model123
84019	1	2015-10-27	model123
84029	1	2015-10-28	model123
09038	1	2015-10-29	model123
09048	1	2014-10-18	model123
09149	1	2015-04-28	model789
09159	1	2015-05-08	model789
09169	1	2015-02-01	model456
09179	1	2015-02-02	model456
11209	1	2015-02-03	model456
11219	1	2015-02-04	model456
11229	1	2015-02-05	model456
13019	1	2015-02-06	model456
13029	1	2015-02-07	model456
17221	1	2015-02-08	model456
82033	1	2015-02-09	model456
83011	1	2015-02-10	model456
83031	1	2015-02-11	model456
83062	1	2015-02-12	model456
83081	1	2015-02-13	model456
84011	1	2015-02-14	model456
84021	1	2015-02-15	model456
11189	1	2015-02-16	model456
11361	1	2015-02-17	model456
12069	1	2015-02-18	model456
12079	1	2015-02-19	model456
12089	1	2015-02-20	model456
12099	1	2015-02-21	model456
12109	1	2015-02-22	model456
18111	1	2015-02-23	model456
18141	1	2015-02-24	model456
19029	1	2015-02-25	model456
19039	1	2015-02-26	model456
19049	1	2014-05-01	model456
19071	1	2014-05-02	model456
19081	1	2014-05-03	model456
19099	1	2015-02-13	model789
41031	1	2014-07-09	model456
41041	1	2014-12-22	model456
41051	0	\N	\N
41061	0	\N	\N
41071	0	\N	\N
41081	0	\N	\N
42011	0	\N	\N
42021	0	\N	\N
42031	0	\N	\N
42041	0	\N	\N
42051	0	\N	\N
42061	0	\N	\N
42149	0	\N	\N
53139	0	\N	\N
53149	0	\N	\N
53159	0	\N	\N
53169	0	\N	\N
54019	1	2015-02-13	model123
64039	1	2015-03-03	model123
64041	1	2015-06-27	model456
64051	1	2015-12-19	model789
64071	1	2015-04-01	model456
64349	1	2015-04-02	model456
64359	1	2015-04-03	model456
64369	1	2015-04-04	model456
11181	1	2015-04-05	model456
11369	1	2015-04-06	model456
11381	1	2015-04-07	model456
