StopNumber	PeriodName	TotalCount
01511	weekendNonpeak	36
01511	weekendPMpeak	30
01519	weekdayAMpeak	36
01519	weekdayNonpeak	39
01519	weekdayPMpeak	41
01519	weekendAMpeak	42
01519	weekendNonpeak	60
01519	weekendPMpeak	25
01521	weekdayAMpeak	58
01521	weekdayNonpeak	35
01521	weekdayPMpeak	26
01521	weekendAMpeak	5
01521	weekendNonpeak	20
01521	weekendPMpeak	18
01529	weekdayAMpeak	25
01529	weekdayNonpeak	16
01529	weekdayPMpeak	45
01529	weekendAMpeak	6
01529	weekendNonpeak	8
01529	weekendPMpeak	16
01611	weekdayAMpeak	50
01611	weekdayNonpeak	7
01611	weekdayPMpeak	14
01611	weekendAMpeak	48
01611	weekendNonpeak	56
01611	weekendPMpeak	23
01619	weekdayAMpeak	62
01619	weekdayNonpeak	53
01619	weekdayPMpeak	53
01619	weekendAMpeak	41
01619	weekendNonpeak	66
01619	weekendPMpeak	4
01621	weekdayAMpeak	39
01621	weekdayNonpeak	5
01621	weekdayPMpeak	2
01621	weekendAMpeak	2
01621	weekendNonpeak	6
01621	weekendPMpeak	44
01629	weekdayAMpeak	39
01629	weekdayNonpeak	56
01629	weekdayPMpeak	60
01629	weekendAMpeak	58
01629	weekendNonpeak	59
01629	weekendPMpeak	8
01631	weekdayAMpeak	63
01631	weekdayNonpeak	27
01631	weekdayPMpeak	9
01631	weekendAMpeak	27
01631	weekendNonpeak	56
01631	weekendPMpeak	44
01639	weekdayAMpeak	9
01639	weekdayNonpeak	4
01639	weekdayPMpeak	30
01639	weekendAMpeak	9
01639	weekendNonpeak	65
01639	weekendPMpeak	56
02029	weekdayAMpeak	38
02029	weekdayNonpeak	7
02029	weekdayPMpeak	65
02029	weekendAMpeak	35
02029	weekendNonpeak	66
02029	weekendPMpeak	56
02049	weekdayAMpeak	22
02049	weekdayNonpeak	15
02049	weekdayPMpeak	36
02049	weekendAMpeak	56
02049	weekendNonpeak	25
02049	weekendPMpeak	25
02051	weekdayAMpeak	34
02051	weekdayNonpeak	18
02051	weekdayPMpeak	46
02051	weekendAMpeak	16
02051	weekendNonpeak	22
02051	weekendPMpeak	58
02061	weekdayAMpeak	0
02061	weekdayNonpeak	64
02061	weekdayPMpeak	20
02061	weekendAMpeak	58
02061	weekendNonpeak	61
02061	weekendPMpeak	9
02089	weekdayAMpeak	45
02089	weekdayNonpeak	44
02089	weekdayPMpeak	40
02089	weekendAMpeak	43
02089	weekendNonpeak	38
02089	weekendPMpeak	52
02099	weekdayAMpeak	23
02099	weekdayNonpeak	65
02099	weekdayPMpeak	42
02099	weekendAMpeak	50
02099	weekendNonpeak	6
02099	weekendPMpeak	66
02101	weekdayAMpeak	41
02101	weekdayNonpeak	60
02101	weekdayPMpeak	8
02101	weekendAMpeak	61
02101	weekendNonpeak	17
02101	weekendPMpeak	37
02111	weekdayAMpeak	1
02111	weekdayNonpeak	59
02111	weekdayPMpeak	14
02111	weekendAMpeak	41
02111	weekendNonpeak	54
02111	weekendPMpeak	10
03011	weekdayAMpeak	41
03011	weekdayNonpeak	32
03011	weekdayPMpeak	17
03011	weekendAMpeak	26
03011	weekendNonpeak	64
03011	weekendPMpeak	13
03019	weekdayAMpeak	42
03019	weekdayNonpeak	20
03019	weekdayPMpeak	22
03019	weekendAMpeak	32
03019	weekendNonpeak	28
03019	weekendPMpeak	18
03021	weekdayAMpeak	39
03021	weekdayNonpeak	66
03021	weekdayPMpeak	46
03021	weekendAMpeak	64
03021	weekendNonpeak	39
03021	weekendPMpeak	46
03031	weekdayAMpeak	48
03031	weekdayNonpeak	48
03031	weekdayPMpeak	27
03031	weekendAMpeak	18
03031	weekendNonpeak	23
03031	weekendPMpeak	18
03041	weekdayAMpeak	48
03041	weekdayNonpeak	29
03041	weekdayPMpeak	21
03041	weekendAMpeak	0
03041	weekendNonpeak	36
03041	weekendPMpeak	8
03059	weekdayAMpeak	46
03059	weekdayNonpeak	19
03059	weekdayPMpeak	59
03059	weekendAMpeak	4
03059	weekendNonpeak	54
03059	weekendPMpeak	35
03111	weekdayAMpeak	56
03111	weekdayNonpeak	56
03111	weekdayPMpeak	33
03111	weekendAMpeak	51
03111	weekendNonpeak	29
03111	weekendPMpeak	11
03129	weekdayAMpeak	25
03129	weekdayNonpeak	33
03129	weekdayPMpeak	21
03129	weekendAMpeak	13
03129	weekendNonpeak	53
03129	weekendPMpeak	42
03151	weekdayAMpeak	8
03151	weekdayNonpeak	26
03151	weekdayPMpeak	20
03151	weekendAMpeak	58
03151	weekendNonpeak	14
03151	weekendPMpeak	0
03211	weekdayAMpeak	42
03211	weekdayNonpeak	49
03211	weekdayPMpeak	65
03211	weekendAMpeak	25
03211	weekendNonpeak	43
03211	weekendPMpeak	40
03217	weekdayAMpeak	65
03217	weekdayNonpeak	39
03217	weekdayPMpeak	12
03217	weekendAMpeak	35
03217	weekendNonpeak	63
03217	weekendPMpeak	6
03218	weekdayAMpeak	35
03218	weekdayNonpeak	24
03218	weekdayPMpeak	17
03218	weekendAMpeak	32
03218	weekendNonpeak	55
03218	weekendPMpeak	46
03219	weekdayAMpeak	42
03219	weekdayNonpeak	22
03219	weekdayPMpeak	56
03219	weekendAMpeak	66
03219	weekendNonpeak	19
03219	weekendPMpeak	66
03222	weekdayAMpeak	47
03222	weekdayNonpeak	40
03222	weekdayPMpeak	54
03222	weekendAMpeak	51
03222	weekendNonpeak	60
03222	weekendPMpeak	51
03223	weekdayAMpeak	11
03223	weekdayNonpeak	34
03223	weekdayPMpeak	13
03223	weekendAMpeak	10
03223	weekendNonpeak	23
03223	weekendPMpeak	42
03239	weekdayAMpeak	39
03239	weekdayNonpeak	1
03239	weekdayPMpeak	58
03239	weekendAMpeak	43
03239	weekendNonpeak	7
03239	weekendPMpeak	41
04111	weekdayAMpeak	11
04111	weekdayNonpeak	6
04111	weekdayPMpeak	31
04111	weekendAMpeak	61
04111	weekendNonpeak	59
04111	weekendPMpeak	60
04121	weekdayAMpeak	19
04121	weekdayNonpeak	19
04121	weekdayPMpeak	17
04121	weekendAMpeak	4
04121	weekendNonpeak	17
04121	weekendPMpeak	18
04142	weekdayAMpeak	44
04142	weekdayNonpeak	6
04142	weekdayPMpeak	20
04142	weekendAMpeak	66
04142	weekendNonpeak	31
04142	weekendPMpeak	53
04143	weekdayAMpeak	30
04143	weekdayNonpeak	14
04143	weekdayPMpeak	48
04143	weekendAMpeak	50
04143	weekendNonpeak	58
04143	weekendPMpeak	46
04151	weekdayAMpeak	23
04151	weekdayNonpeak	30
04151	weekdayPMpeak	10
04151	weekendAMpeak	11
04151	weekendNonpeak	51
04151	weekendPMpeak	36
04167	weekdayAMpeak	31
04167	weekdayNonpeak	27
04167	weekdayPMpeak	27
04167	weekendAMpeak	40
04167	weekendNonpeak	12
04167	weekendPMpeak	65
04168	weekdayAMpeak	12
04168	weekdayNonpeak	48
04168	weekdayPMpeak	41
04168	weekendAMpeak	34
04168	weekendNonpeak	42
04168	weekendPMpeak	19
04179	weekdayAMpeak	4
04179	weekdayNonpeak	46
04179	weekdayPMpeak	15
04179	weekendAMpeak	41
04179	weekendNonpeak	38
04179	weekendPMpeak	18
04189	weekdayAMpeak	10
04189	weekdayNonpeak	11
04189	weekdayPMpeak	3
04189	weekendAMpeak	27
04189	weekendNonpeak	9
04189	weekendPMpeak	15
04222	weekdayAMpeak	29
04222	weekdayNonpeak	18
04222	weekdayPMpeak	37
04222	weekendAMpeak	42
04222	weekendNonpeak	58
04222	weekendPMpeak	47
04223	weekdayAMpeak	52
04223	weekdayNonpeak	59
04223	weekdayPMpeak	23
04223	weekendAMpeak	18
04223	weekendNonpeak	61
04223	weekendPMpeak	22
04249	weekdayAMpeak	54
04249	weekdayNonpeak	58
04249	weekdayPMpeak	52
04249	weekendAMpeak	53
04249	weekendNonpeak	33
04249	weekendPMpeak	52
05012	weekdayAMpeak	9
05012	weekdayNonpeak	53
05012	weekdayPMpeak	21
05012	weekendAMpeak	63
05012	weekendNonpeak	52
05012	weekendPMpeak	28
05013	weekdayAMpeak	67
05013	weekdayNonpeak	60
05013	weekdayPMpeak	60
05013	weekendAMpeak	54
05013	weekendNonpeak	50
05013	weekendPMpeak	42
05019	weekdayAMpeak	45
05019	weekdayNonpeak	44
05019	weekdayPMpeak	66
05019	weekendAMpeak	49
05019	weekendNonpeak	49
05019	weekendPMpeak	44
05022	weekdayAMpeak	6
05022	weekdayNonpeak	68
05022	weekdayPMpeak	4
05022	weekendAMpeak	16
05022	weekendNonpeak	12
05022	weekendPMpeak	56
05023	weekdayAMpeak	31
05023	weekdayNonpeak	24
05023	weekdayPMpeak	21
05023	weekendAMpeak	38
05023	weekendNonpeak	9
05023	weekendPMpeak	40
05029	weekdayAMpeak	22
05029	weekdayNonpeak	33
05029	weekdayPMpeak	25
05029	weekendAMpeak	18
05029	weekendNonpeak	22
05029	weekendPMpeak	39
05039	weekdayAMpeak	56
05039	weekdayNonpeak	6
05039	weekdayPMpeak	48
05039	weekendAMpeak	44
05039	weekendNonpeak	62
05039	weekendPMpeak	20
05069	weekdayAMpeak	22
05069	weekdayNonpeak	55
05069	weekdayPMpeak	12
05069	weekendAMpeak	36
05069	weekendNonpeak	48
05069	weekendPMpeak	50
05129	weekdayAMpeak	59
05129	weekdayNonpeak	21
05129	weekdayPMpeak	66
05129	weekendAMpeak	46
05129	weekendNonpeak	8
05129	weekendPMpeak	40
05131	weekdayAMpeak	20
05131	weekdayNonpeak	16
05131	weekdayPMpeak	49
05131	weekendAMpeak	5
05131	weekendNonpeak	37
05131	weekendPMpeak	0
05189	weekdayAMpeak	48
05189	weekdayNonpeak	46
05189	weekdayPMpeak	22
05189	weekendAMpeak	39
05189	weekendNonpeak	4
05189	weekendPMpeak	62
05199	weekdayAMpeak	57
05199	weekdayNonpeak	18
05199	weekdayPMpeak	32
05199	weekendAMpeak	44
05199	weekendNonpeak	13
05199	weekendPMpeak	48
05239	weekdayAMpeak	21
05239	weekdayNonpeak	33
05239	weekdayPMpeak	23
05239	weekendAMpeak	20
05239	weekendNonpeak	1
05239	weekendPMpeak	27
05259	weekdayAMpeak	27
05259	weekdayNonpeak	66
05259	weekdayPMpeak	50
05259	weekendAMpeak	50
05259	weekendNonpeak	12
05259	weekendPMpeak	36
05319	weekdayAMpeak	29
05319	weekdayNonpeak	50
05319	weekdayPMpeak	2
05319	weekendAMpeak	29
05319	weekendNonpeak	0
05319	weekendPMpeak	63
05519	weekdayAMpeak	15
05519	weekdayNonpeak	64
05519	weekdayPMpeak	26
05519	weekendAMpeak	38
05519	weekendNonpeak	19
05519	weekendPMpeak	10
05521	weekdayAMpeak	33
05521	weekdayNonpeak	8
05521	weekdayPMpeak	24
05521	weekendAMpeak	9
05521	weekendNonpeak	39
05521	weekendPMpeak	28
05629	weekdayAMpeak	33
05629	weekdayNonpeak	26
05629	weekdayPMpeak	67
05629	weekendAMpeak	37
05629	weekendNonpeak	5
05629	weekendPMpeak	5
05631	weekdayAMpeak	59
05631	weekdayNonpeak	20
05631	weekdayPMpeak	24
05631	weekendAMpeak	7
05631	weekendNonpeak	52
05631	weekendPMpeak	15
05641	weekdayAMpeak	20
05641	weekdayNonpeak	11
05641	weekdayPMpeak	37
05641	weekendAMpeak	15
05641	weekendNonpeak	12
05641	weekendPMpeak	38
05649	weekdayAMpeak	52
05649	weekdayNonpeak	32
05649	weekdayPMpeak	46
05649	weekendAMpeak	15
05649	weekendNonpeak	45
05649	weekendPMpeak	48
06011	weekdayAMpeak	41
06011	weekdayNonpeak	51
06011	weekdayPMpeak	31
06011	weekendAMpeak	45
06011	weekendNonpeak	67
06011	weekendPMpeak	67
06029	weekdayAMpeak	14
06029	weekdayNonpeak	21
06029	weekdayPMpeak	7
06029	weekendAMpeak	47
06029	weekendNonpeak	62
06029	weekendPMpeak	1
06049	weekdayAMpeak	4
06049	weekdayNonpeak	43
06049	weekdayPMpeak	40
06049	weekendAMpeak	17
06049	weekendNonpeak	44
06049	weekendPMpeak	47
06051	weekdayAMpeak	36
06051	weekdayNonpeak	32
06051	weekdayPMpeak	8
06051	weekendAMpeak	20
06051	weekendNonpeak	41
06051	weekendPMpeak	11
06069	weekdayAMpeak	51
06069	weekdayNonpeak	9
06069	weekdayPMpeak	53
06069	weekendAMpeak	16
06069	weekendNonpeak	1
06069	weekendPMpeak	40
06071	weekdayAMpeak	53
06071	weekdayNonpeak	16
06071	weekdayPMpeak	66
06071	weekendAMpeak	18
06071	weekendNonpeak	42
06071	weekendPMpeak	35
06081	weekdayAMpeak	40
06081	weekdayNonpeak	20
06081	weekdayPMpeak	60
06081	weekendAMpeak	4
06081	weekendNonpeak	37
06081	weekendPMpeak	33
06129	weekdayAMpeak	43
06129	weekdayNonpeak	27
06129	weekdayPMpeak	23
06129	weekendAMpeak	12
06129	weekendNonpeak	28
06129	weekendPMpeak	47
06131	weekdayAMpeak	14
06131	weekdayNonpeak	5
06131	weekdayPMpeak	58
06131	weekendAMpeak	57
06131	weekendNonpeak	45
06131	weekendPMpeak	53
06141	weekdayAMpeak	29
06141	weekdayNonpeak	46
06141	weekdayPMpeak	65
06141	weekendAMpeak	26
06141	weekendNonpeak	25
06141	weekendPMpeak	61
06149	weekdayAMpeak	54
06149	weekdayNonpeak	61
06149	weekdayPMpeak	43
06149	weekendAMpeak	15
06149	weekendNonpeak	60
06149	weekendPMpeak	48
06151	weekdayAMpeak	53
06151	weekdayNonpeak	51
06151	weekdayPMpeak	67
06151	weekendAMpeak	7
06151	weekendNonpeak	50
06151	weekendPMpeak	17
06159	weekdayAMpeak	41
06159	weekdayNonpeak	29
06159	weekdayPMpeak	57
06159	weekendAMpeak	20
06159	weekendNonpeak	54
06159	weekendPMpeak	22
06161	weekdayAMpeak	67
06161	weekdayNonpeak	45
06161	weekdayPMpeak	62
06161	weekendAMpeak	53
06161	weekendNonpeak	60
06161	weekendPMpeak	64
06169	weekdayAMpeak	27
06169	weekdayNonpeak	19
06169	weekdayPMpeak	35
06169	weekendAMpeak	2
06169	weekendNonpeak	12
06169	weekendPMpeak	29
06171	weekdayAMpeak	19
06171	weekdayNonpeak	13
06171	weekdayPMpeak	13
06171	weekendAMpeak	9
06171	weekendNonpeak	64
06171	weekendPMpeak	42
06189	weekdayAMpeak	66
06189	weekdayNonpeak	58
06189	weekdayPMpeak	10
06189	weekendAMpeak	7
06189	weekendNonpeak	27
06189	weekendPMpeak	55
07011	weekdayAMpeak	24
07011	weekdayNonpeak	54
07011	weekdayPMpeak	66
07011	weekendAMpeak	66
07011	weekendNonpeak	9
07011	weekendPMpeak	64
07021	weekdayAMpeak	57
07021	weekdayNonpeak	45
07021	weekdayPMpeak	49
07021	weekendAMpeak	45
07021	weekendNonpeak	11
07021	weekendPMpeak	21
07031	weekdayAMpeak	36
07031	weekdayNonpeak	32
07031	weekdayPMpeak	18
07031	weekendAMpeak	43
07031	weekendNonpeak	60
07031	weekendPMpeak	36
07111	weekdayAMpeak	10
07111	weekdayNonpeak	10
07111	weekdayPMpeak	57
07111	weekendAMpeak	11
07111	weekendNonpeak	48
07111	weekendPMpeak	55
07211	weekdayAMpeak	63
07211	weekdayNonpeak	6
07211	weekdayPMpeak	36
07211	weekendAMpeak	24
07211	weekendNonpeak	47
07211	weekendPMpeak	68
07221	weekdayAMpeak	28
07221	weekdayNonpeak	18
07221	weekdayPMpeak	54
07221	weekendAMpeak	65
07221	weekendNonpeak	61
07221	weekendPMpeak	65
07231	weekdayAMpeak	1
07231	weekdayNonpeak	33
07231	weekdayPMpeak	64
07231	weekendAMpeak	56
07231	weekendNonpeak	64
07231	weekendPMpeak	51
07319	weekdayAMpeak	68
07319	weekdayNonpeak	19
07319	weekdayPMpeak	21
07319	weekendAMpeak	56
07319	weekendNonpeak	10
07319	weekendPMpeak	46
07329	weekdayAMpeak	5
07329	weekdayNonpeak	27
07329	weekdayPMpeak	11
07329	weekendAMpeak	62
07329	weekendNonpeak	46
07329	weekendPMpeak	11
07369	weekdayAMpeak	60
07369	weekdayNonpeak	44
07369	weekdayPMpeak	30
07369	weekendAMpeak	21
07369	weekendNonpeak	6
07369	weekendPMpeak	21
07371	weekdayAMpeak	31
07371	weekdayNonpeak	35
07371	weekdayPMpeak	30
07371	weekendAMpeak	21
07371	weekendNonpeak	5
07371	weekendPMpeak	24
07379	weekdayAMpeak	22
07379	weekdayNonpeak	19
07379	weekdayPMpeak	44
07379	weekendAMpeak	6
07379	weekendNonpeak	63
07379	weekendPMpeak	8
07517	weekdayAMpeak	53
07517	weekdayNonpeak	0
07517	weekdayPMpeak	20
07517	weekendAMpeak	10
07517	weekendNonpeak	7
07517	weekendPMpeak	36
07518	weekdayAMpeak	52
07518	weekdayNonpeak	26
07518	weekdayPMpeak	58
07518	weekendAMpeak	29
07518	weekendNonpeak	22
07518	weekendPMpeak	33
07539	weekdayAMpeak	7
07539	weekdayNonpeak	26
07539	weekdayPMpeak	31
07539	weekendAMpeak	33
07539	weekendNonpeak	59
07539	weekendPMpeak	57
07561	weekdayAMpeak	56
07561	weekdayNonpeak	30
07561	weekdayPMpeak	42
07561	weekendAMpeak	45
07561	weekendNonpeak	65
07561	weekendPMpeak	54
07569	weekdayAMpeak	13
07569	weekdayNonpeak	68
07569	weekdayPMpeak	43
07569	weekendAMpeak	24
07569	weekendNonpeak	47
07569	weekendPMpeak	64
07571	weekdayAMpeak	34
07571	weekdayNonpeak	60
07571	weekdayPMpeak	35
07571	weekendAMpeak	58
07571	weekendNonpeak	31
07571	weekendPMpeak	31
08031	weekdayAMpeak	60
08031	weekdayNonpeak	15
08031	weekdayPMpeak	57
08031	weekendAMpeak	5
08031	weekendNonpeak	46
08031	weekendPMpeak	16
08041	weekdayAMpeak	54
08041	weekdayNonpeak	35
08041	weekdayPMpeak	42
08041	weekendAMpeak	0
08041	weekendNonpeak	13
08041	weekendPMpeak	47
08057	weekdayAMpeak	2
08057	weekdayNonpeak	57
08057	weekdayPMpeak	61
08057	weekendAMpeak	4
08057	weekendNonpeak	13
08057	weekendPMpeak	65
08069	weekdayAMpeak	15
08069	weekdayNonpeak	22
08069	weekdayPMpeak	11
08069	weekendAMpeak	29
08069	weekendNonpeak	9
08069	weekendPMpeak	20
08079	weekdayAMpeak	50
08079	weekdayNonpeak	1
08079	weekdayPMpeak	46
08079	weekendAMpeak	0
08079	weekendNonpeak	25
08079	weekendPMpeak	3
08111	weekdayAMpeak	34
08111	weekdayNonpeak	43
08111	weekdayPMpeak	30
08111	weekendAMpeak	57
08111	weekendNonpeak	35
08111	weekendPMpeak	0
08121	weekdayAMpeak	7
08121	weekdayNonpeak	66
08121	weekdayPMpeak	61
08121	weekendAMpeak	45
08121	weekendNonpeak	33
08121	weekendPMpeak	31
08138	weekdayAMpeak	36
08138	weekdayNonpeak	30
08138	weekdayPMpeak	60
08138	weekendAMpeak	0
08138	weekendNonpeak	2
08138	weekendPMpeak	2
09011	weekdayAMpeak	58
09011	weekdayNonpeak	55
09011	weekdayPMpeak	37
09011	weekendAMpeak	35
09011	weekendNonpeak	14
09011	weekendPMpeak	14
09022	weekdayAMpeak	46
09022	weekdayNonpeak	50
09022	weekdayPMpeak	15
09022	weekendAMpeak	30
09022	weekendNonpeak	6
09022	weekendPMpeak	18
09023	weekdayAMpeak	50
09023	weekdayNonpeak	42
09023	weekdayPMpeak	4
09023	weekendAMpeak	40
09023	weekendNonpeak	55
09023	weekendPMpeak	24
09037	weekdayAMpeak	54
09037	weekdayNonpeak	20
09037	weekdayPMpeak	42
09037	weekendAMpeak	56
09037	weekendNonpeak	15
09037	weekendPMpeak	55
09038	weekdayAMpeak	21
09038	weekdayNonpeak	50
09038	weekdayPMpeak	41
09038	weekendAMpeak	9
09038	weekendNonpeak	21
09038	weekendPMpeak	64
09047	weekdayAMpeak	47
09047	weekdayNonpeak	65
09047	weekdayPMpeak	31
09047	weekendAMpeak	5
09047	weekendNonpeak	51
09047	weekendPMpeak	11
09048	weekdayAMpeak	6
09048	weekdayNonpeak	35
09048	weekdayPMpeak	59
09048	weekendAMpeak	38
09048	weekendNonpeak	6
09048	weekendPMpeak	44
09059	weekdayAMpeak	11
09059	weekdayNonpeak	27
09059	weekdayPMpeak	16
09059	weekendAMpeak	9
09059	weekendNonpeak	28
09059	weekendPMpeak	58
09111	weekdayAMpeak	53
09111	weekdayNonpeak	49
09111	weekdayPMpeak	62
09111	weekendAMpeak	53
09111	weekendNonpeak	37
09111	weekendPMpeak	41
09121	weekdayAMpeak	16
09121	weekdayNonpeak	63
09121	weekdayPMpeak	48
09121	weekendAMpeak	26
09121	weekendNonpeak	7
09121	weekendPMpeak	47
09131	weekdayAMpeak	58
09131	weekdayNonpeak	24
09131	weekdayPMpeak	55
09131	weekendAMpeak	11
09131	weekendNonpeak	53
09131	weekendPMpeak	57
09139	weekdayAMpeak	45
09139	weekdayNonpeak	46
09139	weekdayPMpeak	17
09139	weekendAMpeak	11
09139	weekendNonpeak	47
09139	weekendPMpeak	39
09141	weekdayAMpeak	3
09141	weekdayNonpeak	67
09141	weekdayPMpeak	13
09141	weekendAMpeak	45
09141	weekendNonpeak	32
09141	weekendPMpeak	33
09149	weekdayAMpeak	38
09149	weekdayNonpeak	35
09149	weekdayPMpeak	9
09149	weekendAMpeak	66
09149	weekendNonpeak	54
09149	weekendPMpeak	44
09159	weekdayAMpeak	30
09159	weekdayNonpeak	1
09159	weekdayPMpeak	50
09159	weekendAMpeak	57
09159	weekendNonpeak	22
09159	weekendPMpeak	56
09169	weekdayAMpeak	38
09169	weekdayNonpeak	20
09169	weekdayPMpeak	34
09169	weekendAMpeak	38
09169	weekendNonpeak	54
09169	weekendPMpeak	35
09179	weekdayAMpeak	41
09179	weekdayNonpeak	37
09179	weekdayPMpeak	57
09179	weekendAMpeak	38
09179	weekendNonpeak	67
09179	weekendPMpeak	53
09212	weekdayAMpeak	46
09212	weekdayNonpeak	37
09212	weekdayPMpeak	55
09212	weekendAMpeak	2
09212	weekendNonpeak	39
09212	weekendPMpeak	23
09219	weekdayAMpeak	67
09219	weekdayNonpeak	27
09219	weekdayPMpeak	61
09219	weekendAMpeak	42
09219	weekendNonpeak	18
09219	weekendPMpeak	62
10009	weekdayAMpeak	5
10009	weekdayNonpeak	37
10009	weekdayPMpeak	40
10009	weekendAMpeak	60
10009	weekendNonpeak	3
10009	weekendPMpeak	39
10011	weekdayAMpeak	20
10011	weekdayNonpeak	53
10011	weekdayPMpeak	11
10011	weekendAMpeak	37
10011	weekendNonpeak	36
10011	weekendPMpeak	27
10018	weekdayAMpeak	14
10018	weekdayNonpeak	3
10018	weekdayPMpeak	11
10018	weekendAMpeak	17
10018	weekendNonpeak	45
10018	weekendPMpeak	40
10021	weekdayAMpeak	42
10021	weekdayNonpeak	33
10021	weekdayPMpeak	7
10021	weekendAMpeak	42
10021	weekendNonpeak	20
10021	weekendPMpeak	23
10039	weekdayAMpeak	15
10039	weekdayNonpeak	48
10039	weekdayPMpeak	58
10039	weekendAMpeak	59
10039	weekendNonpeak	40
10039	weekendPMpeak	50
10041	weekdayAMpeak	57
10041	weekdayNonpeak	68
10041	weekdayPMpeak	36
10041	weekendAMpeak	25
10041	weekendNonpeak	58
10041	weekendPMpeak	20
10049	weekdayAMpeak	13
10049	weekdayNonpeak	26
10049	weekdayPMpeak	25
10049	weekendAMpeak	17
10049	weekendNonpeak	30
10049	weekendPMpeak	0
10051	weekdayAMpeak	47
10051	weekdayNonpeak	15
10051	weekdayPMpeak	2
10051	weekendAMpeak	20
10051	weekendNonpeak	53
10051	weekendPMpeak	58
10059	weekdayAMpeak	4
10059	weekdayNonpeak	18
10059	weekdayPMpeak	56
10059	weekendAMpeak	39
10059	weekendNonpeak	25
10059	weekendPMpeak	34
10061	weekdayAMpeak	45
10061	weekdayNonpeak	6
10061	weekdayPMpeak	36
10061	weekendAMpeak	41
10061	weekendNonpeak	63
10061	weekendPMpeak	30
10069	weekdayAMpeak	55
10069	weekdayNonpeak	63
10069	weekdayPMpeak	32
10069	weekendAMpeak	34
10069	weekendNonpeak	31
10069	weekendPMpeak	17
10071	weekdayAMpeak	38
10071	weekdayNonpeak	48
10071	weekdayPMpeak	33
10071	weekendAMpeak	19
10071	weekendNonpeak	33
10071	weekendPMpeak	49
10079	weekdayAMpeak	47
10079	weekdayNonpeak	23
10079	weekdayPMpeak	45
10079	weekendAMpeak	36
10079	weekendNonpeak	58
10079	weekendPMpeak	48
10081	weekdayAMpeak	55
10081	weekdayNonpeak	55
10081	weekdayPMpeak	19
10081	weekendAMpeak	54
10081	weekendNonpeak	36
10081	weekendPMpeak	29
10089	weekdayAMpeak	34
10089	weekdayNonpeak	56
10089	weekdayPMpeak	64
10089	weekendAMpeak	48
10089	weekendNonpeak	39
10089	weekendPMpeak	10
10091	weekdayAMpeak	31
10091	weekdayNonpeak	37
