stopnumber	locationdesc	address
04249	Opp The Treasury	Nth Bridge Rd
05012	Pearl's Ctr	Eu Tong Sen St
05013	People's Pk Cplx	Eu Tong Sen St
05019	Opp Pearl's Ctr	New Bridge Rd
05022	People's Pk Ctr	Eu Tong Sen St
05023	Opp Hong Lim Pk	Eu Tong Sen St
05029	Boat Quay	Sth Bridge Rd
05039	New Bridge Ctr	New Bridge Rd
05069	Outram Pk Stn	New Bridge Rd
05129	Hong Lim Pk	Upp Pickering St
05131	Opp Hong Lim Cplx	Upp Cross St
05189	Opp Sri Mariamman Tp	Sth Bridge Rd
05199	Opp Hong Lim Cplx	Sth Bridge Rd
05239	Bef The Pinnacle@Duxton	Neil Rd
05259	Aft Kreta Ayer Rd	Neil Rd
05319	OCBC Ctr	Church St
05519	Opp Maritime Hse	Cantonment Rd
05521	Maritime Hse	Cantonment Rd
05629	Opp Sth Pt	Cantonment Rd
05631	Blk 16	Cantonment Link
05641	Customs Port Br HQ	Keppel Rd
05649	Opp Customs Port Br HQ	Keppel Rd
06011	Opp Outram Pk Stn	Outram Rd
06029	Outram Pk Stn	Outram Rd
06049	BEF OUTRAM FLYOVER	Outram Rd
06051	Blk 55	Tiong Bahru Rd
06069	Aft Furama RiverFront	Outram Rd
06071	Blk 2B	Zion Rd
06081	Blk 94	Zion Rd
06129	Grand Copthorne Hotel	Kim Seng Rd
06131	The Boys' Brigade HQ	Zion Rd
06141	Holiday Inn Atrium	Havelock Rd
06149	Opp Holiday Inn Atrium	Havelock Rd
06151	Hotel Miramar	Havelock Rd
06159	River View Hotel	Havelock Rd
06161	Blk 2	Havelock Rd
06169	River Pl Condo	Havelock Rd
06171	Opp Subordinate Ct	Upp Cross St
06189	Ctrl Sq	Havelock Rd
07011	Peace Ctr	Selegie Rd
07021	Selegie Ctr	Selegie Rd
07031	Tekka Ctr	S'goon Rd
07111	Broadway Hotel	S'goon Rd
07211	Sri Srinivasa Perumal Tp	S'goon Rd
07221	Sri Vadapathira K Tp	S'goon Rd
07231	Bef Tai Hoe Hotel	Kitchener Rd
07319	Aft Allenby Rd	Jln Besar
07329	Hoa Nam Bldg	Jln Besar
07369	Aft Kallang Bahru	Lavender St
07371	Aft Kallang Rd	Lavender St
07379	Bef Kallang Rd	Lavender St
07517	Opp Burlington Sq	Bencoolen St
07518	Fortune Ctr	Bencoolen St
07539	Opp Rochor Stn	Sungei Rd
07561	Opp Midlink Plaza	Middle Rd
07569	Midlink Plaza	Middle Rd
07571	Opp Prime Ctr	Middle Rd
08031	Dhoby Ghaut Stn	Penang Rd
08041	YMCA	Orchard Rd
08057	Dhoby Ghaut Stn	Orchard Rd
08069	Rendezvous Grand Hotel	Bras Basah Rd
08079	Sch of the Arts	Prinsep St
08111	Winsland Hse	Penang Rd
08121	Somerset Stn	Somerset Rd
08138	Concorde Hotel S'pore	Orchard Rd
09011	Opp Ngee Ann City	Orchard Turn
09022	Opp Orchard Stn	Orchard Blvd
09023	Orchard Stn	Orchard Turn
09037	Opp Mandarin Orchard	Orchard Rd
09038	Midpoint Orchard	Orchard Rd
09047	Tang Plaza	Orchard Rd
09048	Lucky Plaza	Orchard Rd
09059	Natl Youth Council	Grange Rd
09111	Opp Four Seasons Hotel	Orchard Blvd
09121	Bef Tomlinson Rd	Orchard Blvd
09131	Grange Residences	Grange Rd
09139	Aft Cuscaden Rd	Grange Rd
09141	British Council	Napier Rd
09149	Opp British Council	Napier Rd
09159	Aft Tomlinson Rd	Tanglin Rd
09169	Delfi Orchard	Orchard Rd
09179	Royal Thai Embassy	Orchard Rd
09212	Royal Plaza On Scotts	Scotts Rd
09219	Far East Plaza	Scotts Rd
10009	Bt Merah Int	Bt Merah Ctrl
10011	Opp New Bridge Rd Ter	New Bridge Rd
10018	Bef Outram Rd	Eu Tong Sen St
10021	Blk 3	Neil Rd
10039	Bef Hosp Dr	Kg Bahru Rd
10041	Aft Blair Rd	Kg Bahru Rd
10049	Aft Jln Bt Merah	Kg Bahru Rd
10051	Blk 149	Jln Bt Merah
10059	Opp Blk 149	Jln Bt Merah
10061	Blk 140	Jln Bt Merah
10069	Opp Blk 140	Jln Bt Merah
10071	Blk 111	Jln Bt Merah
10079	Blk 201	Jln Bt Merah
10081	Opp Blk 120	Jln Bt Merah
10089	Blk 119	Jln Bt Merah
10091	Bt Merah Town Ctr	Jln Bt Merah
10099	Opp Bt Merah Town Ctr	Jln Bt Merah
10101	SPRING S'pore Bldg	Jln Bt Merah
10109	Opp SPRING S'pore Bldg	Jln Bt Merah
10111	Opp Blk 28	Jln Bt Merah
10119	Opp Pacific Tech Ctr	Jln Bt Merah
10131	Opp Blk 2	Jln Bt Merah
10139	Blk 1	Jln Bt Merah
10141	Blk 18	Tiong Bahru Rd
10149	Blk 1	Tiong Bahru Rd
10151	Ctrl Green Condo	Tiong Bahru Rd
10161	Opp Tiong Bahru Plaza	Tiong Bahru Rd
10169	Tiong Bahru Plaza	Tiong Bahru Rd
10171	Henderson Pk	Tiong Bahru Rd
10179	Tiong Bahru Pk	Tiong Bahru Rd
10181	Bef Al-Rabitah Mque	Tiong Bahru Rd
10189	Blk 104A CP	Tiong Bahru Rd
10191	Blk 78	Tiong Bahru Rd
10199	Delta Swim Cplx	Tiong Bahru Rd
10221	Ganges Ctr	Ganges Ave
10229	Opp Harvest Mans	Ganges Ave
10231	Opp Blk 79	Ganges Ave
10239	Blk 79	Ganges Ave
10241	Gan Eng Seng Sec Sch	Alexandra Rd
10249	Opp Gan Eng Seng Sec Sch	Alexandra Rd
10261	Delta Sports Hall	Alexandra Rd
10269	Opp Delta Sports Hall	Alexandra Rd
10271	Opp Tanglin View	Alexandra Rd
10279	Tanglin View	Alexandra Rd
10281	SIS Bldg	Alexandra Rd
10289	Opp SIS Bldg	Alexandra Rd
10291	Aft SM Motors Ctr	Alexandra Rd
10299	Opp SM Motors Ctr	Alexandra Rd
10361	Cendex Ctr	Lower Delta Rd
10369	Opp Cendex Ctr	Lower Delta Rd
10391	Opp Melati Blk 2	Kg Bahru Rd
10399	Melati Blk 2	Kg Bahru Rd
10401	Shriro Hse	Hoy Fatt Rd
10409	Blk 50	Hoy Fatt Rd
10411	Opp Blk 53	Hoy Fatt Rd
10419	Blk 52	Hoy Fatt Rd
10421	Blk 63B	Lengkok Bahru
10429	Blk 54	Lengkok Bahru
10451	Opp Blk 71	Redhill Rd
10459	Blk 72	Redhill Rd
10481	Opp Blk 73	Redhill Cl
10489	Blk 73	Redhill Cl
10501	Blk 104	Jln Bt Merah
10599	Opp Blk 36	Jln Rumah Tinggi
10651	Blk 161	Bt Merah Ctrl
10659	Blk 1003	Bt Merah Ctrl
11019	Opp OG Fty	Jln Bt Merah
11021	Aft Queenstown NPC HQ	Queensway
11029	Blk 166	Queensway
11031	Opp Queen's Cl	Queensway
11039	Blk 19	Queensway
11041	Aft C'wealth Dr	Queensway
11049	Opp Blessed Sacrament Ch	Queensway
11051	Opp Queenstown Polyclinic	Queensway
11059	Queenstown Polyclinic	Queensway
11061	Opp Queensway Sec Sch	Queensway
11069	Queensway Sec Sch	Queensway
11071	Blk 97	Queensway
11079	Opp Blk 95	Queensway
11081	Viz Holland	Queensway
11089	Opp Holland Hill Lodge	Queensway
11091	Tulip Gdn	Farrer Rd
11099	Opp Tulip Gdn	Farrer Rd
11101	Farrer Rd Mkt	Farrer Rd
11109	Spanish Village	Farrer Rd
11111	Farrer Rd Stn	Farrer Rd
11119	Opp Farrer Rd Stn	Farrer Rd
11131	Queens Condo	C'wealth Ave
11139	Blk 53A CP	C'wealth Ave
11141	Queenstown Stn	C'wealth Ave
11149	Queenstown Stn	C'wealth Ave
11151	Blk 42	C'wealth Ave
11159	Aft Ch Of Our Saviour	C'wealth Ave
11181	Opp Blk 43	C'wealth Ave
11189	Blk 43	C'wealth Ave
11201	CSC Dempsey Clubhse	Holland Rd
11209	Opp Peirce Rd	Holland Rd
11211	Aft Peirce Rd	Holland Rd
11219	Great Eastern Mans	Holland Rd
11221	Lien Twrs	Holland Rd
11229	Les Jardins De Holland	Holland Rd
11231	Aft Estoril Mans	Holland Rd
11239	Fairlodge	Holland Rd
11261	Holland Village	Holland Rd
11269	Opp Holland Village	Holland Rd
11271	Aft East Sussex Lane	Holland Rd
11279	Aft Coronation Rd West	Holland Rd
11281	Aft Tan Boon Chong Ave	Holland Rd
11289	Opp Tan Boon Chong Ave	Holland Rd
11291	Cold Storage Jelita	Holland Rd
11299	Opp Cold Storage Jelita	Holland Rd
11361	Buona Vista Stn	Nth Buona Vista Rd
11369	Opp Buona Vista Stn	Nth Buona Vista Rd
11379	Buona Vista Ter	Nth Buona Vista Rd
11381	Blk 10A	Holland Dr
11511	Alexandra Hosp	Alexandra Rd
11519	Opp Queensway Shop Ctr	Alexandra Rd
12021	Bef Moonbeam Walk	Holland Rd
12029	Opp Moonbeam Walk	Holland Rd
12031	Pandan Valley Condo	Ulu Pandan Rd
12039	Opp Pandan Valley Condo	Ulu Pandan Rd
12041	Aft Pandan Valley	Ulu Pandan Rd
12049	Opp Pandan Valley	Ulu Pandan Rd
12051	Pine Gr Condo	Ulu Pandan Rd
12059	Opp Pine Gr Condo	Ulu Pandan Rd
12061	Blk 109	Clementi Rd
12069	Opp Blk 109A	Clementi Rd
12071	Blk 116	Clementi Rd
12079	Opp Blk 116	Clementi Rd
12081	Maju Camp	Clementi Rd
12089	Opp Maju Camp	Clementi Rd
12091	SIM HQ	Clementi Rd
12099	Opp SIM HQ	Clementi Rd
12101	Ngee Ann Poly	Clementi Rd
12109	Opp Ngee Ann Poly	Clementi Rd
12111	Bef Clementi Rd	Ulu Pandan Rd
12119	Police KINS Trg Camp	Ulu Pandan Rd
13011	Opp S'pore Botanic Gdns	Napier Rd
13019	S'pore Botanic Gdns	Napier Rd
13021	Aft Min Of Foreign Affairs	Holland Rd
13029	Bef Tyersall Ave	Holland Rd
13119	Opp Great World City	Kim Seng Rd
13121	Opp Great World City	Zion Rd
13139	The Trillium	Kim Seng Rd
13141	Aft Zion Full Gospel Ch	Hoot Kiam Rd
13159	Bef Zion Full Gospel Ch	Irwell Bank Rd
13169	Grange 80 Condo	Grange Rd
13171	Lucky Twr	Grange Rd
13179	Opp Lucky Twr	Grange Rd
13181	Aft One Tree Hill	Grange Rd
13189	Bef One Tree Hill	Grange Rd
14009	HarbourFront Int	Seah Im Rd
14011	Bef Mt Faber Lodge	Kg Bahru Rd
14019	Opp Mt Faber Lodge	Kg Bahru Rd
14021	BEF TELOK BLANGAH RISE	Lower Delta Rd
14029	Blk 105	Lower Delta Rd
14031	St. Theresa's Convent	Lower Delta Rd
14039	Opp St. Theresa's Convent	Lower Delta Rd
14041	Blk 54	Henderson Rd
14049	Opp Blk 55	Henderson Rd
14051	Aft Telok Blangah Hts	Henderson Rd
14059	Bef Telok Blangah Hts	Henderson Rd
14061	Opp Former Railway Stn	Keppel Rd
14069	Former Railway Stn	Keppel Rd
14071	Keppel Workshop	Keppel Rd
14081	Tg Pagar DP Blk F5	Keppel Rd
14089	Opp Tg Pagar DP Blk F5	Keppel Rd
14101	Opp Keppel DP Blk 517	Keppel Rd
14109	Keppel DP Blk 517	Keppel Rd
14119	Opp VivoCity	Telok Blangah Rd
14121	HarbourFront Stn	Telok Blangah Rd
14129	HarbourFront Stn	Telok Blangah Rd
14131	Caribbean at Keppel Bay	Telok Blangah Rd
14139	Bef Seah Im Rd	Telok Blangah Rd
14141	VivoCity	Telok Blangah Rd
14151	Opp Chr CC Chapel	Telok Blangah Rd
14159	Bef Chr CC Chapel	Telok Blangah Rd
14221	Opp St. Teresa's Ch	Kg Bahru Rd
14229	St. Teresa's Ch	Kg Bahru Rd
14231	Keppel DP Blk 519	Kg Bahru Rd
14239	Opp Keppel DP Blk 519	Kg Bahru Rd
14271	Al-Amin Mque	Telok Blangah Way
14279	Blk 25	Telok Blangah Way
14281	Opp Blk 11	Telok Blangah Way
14291	Blk 27	Telok Blangah Way
14299	Opp Blk 27	Telok Blangah Way
14331	Aft Telok Blangah St 32	Telok Blangah Hts
14339	Bef Telok Blangah St 32	Telok Blangah Hts
14341	Opp Blk 59	Telok Blangah Hts
14349	Blk 59	Telok Blangah Hts
14351	Blk 48	Telok Blangah Dr
14359	Blk 50	Telok Blangah Dr
14379	Blk 40	Lower Delta Rd
14381	Blk 109	Bt Purmei Ave
14389	Opp Blk 109	Bt Purmei Ave
14391	Opp Blk 85	Telok Blangah Hts
14399	Blk 85	Telok Blangah Hts
14491	Opp Telok Blangah Mkt/FC	Telok Blangah Dr
14499	Telok Blangah Mkt/FC	Telok Blangah Dr
16091	Opp SIT Dover	AYE
16099	SIT Dover	AYE
16149	NUS Fac Of Architecture	Clementi Rd
16159	NUS Fac Of Engrg	Clementi Rd
16169	NUS Raffles Hall	Kent Ridge Cres
16179	Opp Yusof Ishak Hse	Kent Ridge Cres
16189	Computer Ctr	Kent Ridge Cres
16199	NUS Fac Of Design & Env	Kent Ridge Cres
17009	Clementi Int	Clementi Ave 3
17091	Aft Clementi Ave 1	Clementi Rd
17099	Aft Dover Rd	Clementi Rd
17101	Blk 352	Clementi Rd
17109	Opp Blk 352	Clementi Rd
17111	Blk 343	Clementi Rd
17119	Opp Blk 343	Clementi Rd
17121	Blk 610	AYE
17129	Aft NUS High Sch	AYE
17131	Clementi Flyover	AYE
17139	Aft Clementi Swim Cplx	AYE
17141	Clementi Stadium	AYE
17149	Blk 426	AYE
17151	Blk 410	C'wealth Ave West
17159	Blk 365	C'wealth Ave West
17161	Opp Blk 329	C'wealth Ave West
17171	Clementi Stn	C'wealth Ave West
17221	Blk 377	Clementi Ave 5
17229	Blk 335	Clementi Ave 5
17239	NTUC Fairprice	Clementi Ave 3
18041	Normanton Pk	AYE
18049	Opp Normanton Pk	AYE
18071	NUH	Buona Vista Flyover
18079	Opp NUH	Buona Vista Flyover
18101	PSB Science Pk Bldg	Buona Vista Flyover
18109	Opp PSB Science Pk Bldg	Buona Vista Flyover
18111	Fairfield Meth Pr Sch	Dover Rd
18119	Opp Fairfield Meth Pr Sch	Dover Rd
18131	Science Pk	AYE
18141	Aft Anglo-Chinese JC	Nth Buona Vista Rd
18149	Opp Anglo-Chinese JC	Nth Buona Vista Rd
19021	SP SMA	C'wealth Ave West
19029	Opp SP SMA	C'wealth Ave West
19031	Dover Stn	C'wealth Ave West
19039	Dover Stn	C'wealth Ave West
19041	Opp Sch Of Science & Tech	C'wealth Ave West
19049	Sch Of Science & Tech	C'wealth Ave West
19071	Opp United World College	Dover Rd
19081	Opp ACS Boarding Sch	Dover Rd
19089	United World College	Dover Rd
19091	S'pore Poly	Dover Ave
19099	Opp S'pore Poly	Dover Ave
20011	Blk 506	AYE
20019	Blk 431	AYE
20021	Hong Leong Shop Ctr	AYE
20029	Opp Hong Leong Shop Ctr	AYE
20031	The Infiniti	AYE
20039	Opp The Infiniti	AYE
20051	Cycle & Carriage	AYE
20059	Opp Cycle & Carriage	AYE
20271	Opp German Ctr	Jurong Town Hall Rd
28009	Jurong East Temp Int	Jurong Gateway Rd
28221	Opp Intl Business Pk	Jurong Town Hall Rd
28229	German Ctr	Jurong Town Hall Rd
28231	Jurong Town Hall	Jurong Town Hall Rd
28239	Opp Jurong Town Hall	Jurong Town Hall Rd
28241	Opp Jurong East Lib	Jurong Town Hall Rd
28249	Jurong East Lib	Jurong Town Hall Rd
28301	Blk 131	Jurong Gateway Rd
28321	Blk 239	Jurong East Ave 1
28329	Blk 246	Jurong East Ave 1
28331	Blk 229	Jurong East Ave 1
28339	Blk 252	Jurong East Ave 1
28431	Blk 134	Jurong East Ctrl
28439	Blk 124	Jurong East Ctrl
28451	Parc Oasis	Jurong East Ave 1
28459	Opp Parc Oasis	Jurong East Ave 1
28461	Blk 347	Jurong East Ave 1
28471	Opp Blk 311	Jurong East St 32
28481	Blk 306	Jurong East St 32
28631	Opp Blk 288D	Toh Guan Rd
28639	Blk 288E	Toh Guan Rd
28641	Blk 284	Toh Guan Rd
28649	Blk 286A	Toh Guan Rd
28651	Opp IMM Bldg	Toh Guan Rd
28659	IMM Bldg	Toh Guan Rd
40011	Opp Little India Stn	Bt Timah Rd
40019	Little India Stn	Bt Timah Rd
40091	Bef Lewis Rd	Bt Timah Rd
40099	Aft Dunkirk Ave	Dunearn Rd
40101	KK Women & Child Hosp	Kg Java Rd
40109	Opp KK Women & Child Hosp	Kg Java Rd
40121	Opp Newton Life Ch	Newton Rd
40129	Newton Life Ch	Newton Rd
40171	Opp Env Bldg	Scotts Rd
40179	Env Bldg	Scotts Rd
40181	Newton Stn	Scotts Rd
40189	Newton Stn	Scotts Rd
40231	Raffles Town Club	Whitley Rd
40239	Aft Tanglin CC	Whitley Rd
40249	St. Joseph's Inst	Whitley Rd
40251	Aft Wallace Way	Lornie Rd
40259	Bef Wallace Way	Lornie Rd
40261	LP 52	Lornie Rd
40269	LP 57	Lornie Rd
41011	NUS Bt Timah Campus	Bt Timah Rd
41019	Aft Kheam Hock Rd	Dunearn Rd
41021	Botanic Gdns Stn	Bt Timah Rd
41029	Opp Botanic Gdns Stn	Dunearn Rd
41031	Bef Crown Ctr	Bt Timah Rd
41041	Coronation Plaza	Bt Timah Rd
41049	Opp Coronation Plaza	Dunearn Rd
41051	Tan Kah Kee Stn	Bt Timah Rd
41061	Chinese High Sch	Bt Timah Rd
41069	Opp Tan Kah Kee Stn	Dunearn Rd
41071	Opp Natl JC	Bt Timah Rd
41079	Natl JC	Dunearn Rd
41081	Sixth Ave Stn	Bt Timah Rd
41089	Aft Jln Naga Sari	Dunearn Rd
41101	St. Margaret's Sec Sch	Farrer Rd
41109	Opp St. Margaret's Sec Sch	Farrer Rd
41111	Lutheran Twrs	Farrer Rd
41119	Opp Lutheran Twrs	Farrer Rd
41121	S'pore Bible College	Adam Rd
41129	Opp S'pore Bible College	Adam Rd
41131	Opp The Japanese Assn	Adam Rd
41139	Aft The Japanese Assn	Adam Rd
41141	Bef SICC	Adam Rd
41149	Opp SICC	Adam Rd
41151	Aft SICC	Lornie Rd
41159	Aft Lornie Walk	Lornie Rd
42011	Sixth Ave Ctr	Bt Timah Rd
42019	Opp Sixth Ave Stn	Dunearn Rd
42021	Aft Maple Ave	Bt Timah Rd
42029	Aft Swiss Club Rd	Dunearn Rd
42031	The Tessarina	Bt Timah Rd
42039	Opp The Nexus	Dunearn Rd
42041	The Nexus	Bt Timah Rd
42049	Hua Guan Gdn	Dunearn Rd
42051	King Albert Park Stn	Bt Timah Rd
42059	Opp King Albert Pk Stn	Dunearn Rd
42061	King Albert Lodge	Bt Timah Rd
42071	Shell Kiosk	Upp Bt Timah Rd
42089	Opp Bt Timah Plaza	Jln Anak Bt
42091	Opp Bt Timah Shop Ctr	Upp Bt Timah Rd
42109	Opp Beauty World Ctr	Jln Anak Bt
42111	Aft Ct Bt Timah	Upp Bt Timah Rd
42119	Southaven II	Upp Bt Timah Rd
42141	Bef Dunearn Rd	Clementi Rd
42149	Aft Bukit Timah Rd	Clementi Rd
43011	Bt Regency	Upp Bt Timah Rd
43019	Aft Bt Timah Fire Stn	Upp Bt Timah Rd
43021	Aft Old Jurong Rd	Upp Bt Timah Rd
43029	Opp The Hillside	Upp Bt Timah Rd
43041	Hume Pk Condo	Upp Bt Timah Rd
43049	Opp Hume Pk Condo	Upp Bt Timah Rd
43051	Opp The Rail Mall	Upp Bt Timah Rd
43059	The Rail Mall	Upp Bt Timah Rd
43061	Hillview Stn	Upp Bt Timah Rd
43069	Opp Hillview Stn	Upp Bt Timah Rd
43071	Opp Dairy Farm Rd	Upp Bt Timah Rd
43081	Opp Assumption Eng Sch	Upp Bt Timah Rd
43089	Aft Assumption Eng Sch	Upp Bt Timah Rd
43099	Assumption Pathway Sch	Upp Bt Timah Rd
43121	Aft Cashew Terr	Cashew Rd
43129	Cashew Pk Condo	Cashew Rd
43131	Bt Panjang Pr Sch	Cashew Rd
43139	Opp Bt Panjang Pr Sch	Cashew Rd
44201	Aft Petir Stn	Petir Rd
44209	Opp Petir Stn	Petir Rd
44211	Blk 127	Petir Rd
44219	Bet Blks 139/140	Petir Rd
44251	Blk 604	Bt Panjang Rd
44259	Blk 183	Bt Panjang Rd
44631	Opp Bt Panjang Plaza	Jelebu Rd
44639	Bt Panjang Plaza	Jelebu Rd
45009	Bt Panjang Temp Bus Pk	Woodlands Rd
50011	Opp Parish Of Christ Ch	Kg Java Rd
50019	Parish Of Christ Ch	Keng Lee Rd
50021	United Sq	Thomson Rd
50029	Opp United Sq	Thomson Rd
50031	Opp Novena Ch	Thomson Rd
50038	Novena Stn	Thomson Rd
50041	Novena Lodge	Thomson Rd
50049	Opp Novena Lodge	Thomson Rd
50051	Thomson Med Ctr	Thomson Rd
50059	Opp Thomson Med Ctr	Thomson Rd
50061	Opp Hotel Royal	Newton Rd
50069	Hotel Royal	Newton Rd
50071	Bef Carlisle Rd	Norfolk Rd
50079	Opp Carlisle Rd	Norfolk Rd
50081	Blk 41A	Owen Rd
50089	Blk 51	Owen Rd
50111	Revival Ctr Ch	Moulmein Rd
50119	St. Michael's Sch	Moulmein Rd
50121	Natl Skin Ctr	Moulmein Rd
50129	Opp Tan Tock Seng Hosp	Moulmein Rd
50159	Opp Jumbo Ind Bldg	Kim Keat Rd
50161	Balestier Ctr	Balestier Rd
50169	Aft Irrawaddy Rd	Balestier Rd
50171	Zhongshan Mall	Balestier Rd
50179	Opp Zhongshan Mall	Balestier Rd
50189	Opp Public Man	Balestier Rd
50191	Bef Balestier Plaza	Balestier Rd
50199	HMI Balestier Hosp	Balestier Rd
50201	Shaw Plaza	Balestier Rd
50209	Aft Pegu Rd	Balestier Rd
50211	Opp Balestier Pt	Balestier Rd
50221	Opp Balestier Twrs	Balestier Rd
50229	Balestier Twrs	Balestier Rd
50231	ITE Balestier	Balestier Rd
50239	S'pore Indian Assn	Balestier Rd
50249	S'pore Khalsa Assn	Balestier Rd
50251	Farrer Pk Stn	Rangoon Rd
50261	Kentish Lodge	Rangoon Rd
50301	Kentish Green	Kent Rd
50321	Aft Gloucester Rd	Dorset Rd
50331	Blk 122	Mcnair Rd
50349	Blk 107	Towner Rd
50351	Farrer Pk Tennis Ctr	Dorset Rd
50991	Blk 82	Whampoa Dr
51011	Opp Tan Tong Meng Twr	Thomson Rd
51019	Thomson Flyover	Thomson Rd
51071	Macritchie Reservoir	Thomson Rd
51079	Opp Macritchie Reservoir	Thomson Rd
51091	Opp Catholic JC	PIE
51099	Catholic JC	Whitley Rd
51101	Old Police Academy	PIE
51109	Opp Old Police Academy	Whitley Rd
51111	Opp Andrew Rd	Lornie Rd
51119	Bef Andrew Rd	Lornie Rd
52021	Opp Blk 1004	Braddell Rd
52031	Opp Blk 998	Braddell Rd
52039	Aft Muhajirin Mque	Braddell Rd
52049	Blk 19	Jln Tenteram
52051	Blk 147	Braddell Rd
52059	Blk 219	Braddell Rd
52061	BCA Academy	Braddell Rd
52069	Comfortdelgro Corp Ltd	Braddell Rd
52071	Trellis Twrs	Jln Toa Payoh
52079	Opp Trellis Twrs	Jln Toa Payoh
52099	Opp NKF	Kim Keat Rd
52109	Bet Blks 33/34	Jln Bahagia
52119	Opp Blk 65	Jln Tenteram
52129	Blk 29	Jln Bahagia
52181	Opp Toa Payoh Stn	Lor 2 Toa Payoh
52189	Toa Payoh Stn	Lor 2 Toa Payoh
52231	Opp Blk 177	Toa Payoh Ctrl
52239	Blk 177	Toa Payoh Ctrl
52271	Jackson Sq	Lor 4 Toa Payoh
52279	Blk 56	Lor 4 Toa Payoh
52361	Blk 1	Lor 6 Toa Payoh
52369	Blk 237	Lor 6 Toa Payoh
52451	Blk 114	Whampoa Rd
52499	St. Michael's Ter	Whampoa Rd
53009	Bishan Int	Bishan St 13
53011	St. Theresa's Home	Upp Thomson Rd
53019	Opp St. Theresa's Home	Upp Thomson Rd
53021	Opp Shunfu Est	Upp Thomson Rd
53029	Shunfu Est	Upp Thomson Rd
53039	Thomson CC	Upp Thomson Rd
53041	Bef Thomson Ridge	Upp Thomson Rd
53049	Bef Jln Todak	Upp Thomson Rd
53051	Bef Thomson Plaza	Upp Thomson Rd
53059	Opp Thomson Plaza	Upp Thomson Rd
53061	Thomson View Condo	Upp Thomson Rd
53069	Opp Windsor Pk	Upp Thomson Rd
53071	Opp Flame Tree Pk	Upp Thomson Rd
53079	Flame Tree Pk	Upp Thomson Rd
53081	Opp Faber Gdn	Upp Thomson Rd
53089	Faber Gdn	Upp Thomson Rd
53091	Bef Ang Mo Kio Ave 1	Upp Thomson Rd
53099	Aft Ang Mo Kio Ave 1	Upp Thomson Rd
53121	Marymount Stn	Marymount Rd
53129	Opp Marymount Stn	Marymount Rd
53131	Blk 319	Marymount Rd
53139	Marymount View	Marymount Rd
53141	Opp Whitley Sec Sch	Marymount Rd
53149	Whitley Sec Sch	Marymount Rd
53151	Opp Blk 263A CP	Marymount Rd
53159	Blk 260	Marymount Rd
53161	Opp Blk 254	Marymount Rd
53169	Blk 254	Marymount Rd
53211	Opp Raffles Inst	Bishan Rd
53219	Raffles Inst	Bishan Rd
53221	Blk 115	Bishan St 11
53229	Blk 501	Bishan St 11
53251	Blk 125	Bishan St 11
53259	Opp Blk 125	Bishan St 11
