PlateNumber	BusModel	Capacity	DateAcquired
SHG1266B	Mercedes	72	2008-01-25
SHK1298B	Volvo	72	2008-02-20
SHJ1276G	Volvo	72	2008-04-19
SHL1254T	Volvo	72	2008-06-26
SHM1243P	Volvo	72	2008-07-19
SHO1232F	Volvo	72	2008-07-21
SHA1212F	Volvo	72	2009-05-08
SHR1277B	Man	72	2009-08-07
SHB4534A	Man	72	2010-10-28
SHD4523H	Man	46	2010-12-18
SHF4588G	Man	72	2011-12-10
SHG4543W	Mercedes	46	2012-07-27
SHK4567T	Man	46	2012-09-29
SHJ4568Y	Man	72	2012-10-17
SHL4528R	Mercedes	72	2012-10-22
SHM4518H	Man	46	2012-12-19
SHO4598H	Man	46	2013-02-10
SHA4566Y	Mercedes	46	2013-04-16
SHR4587N	Man	46	2013-05-02
SHB4276T	Man	46	2013-08-24
SHD4265H	Man	72	2013-12-27
SHF4254R	Mercedes	46	2014-07-03
SHG4243E	Man	72	2015-04-29
SHK4232S	Man	46	2015-09-29
SHJ4221A	Man	72	2015-12-03
SHL4245H	Mercedes	46	2008-04-18
SHM4287J	Volvo	46	2009-02-03
SHO4287N	Volvo	72	2009-07-14
SHA4288R	Mercedes	72	2009-07-28
SHR4277V	Volvo	72	2009-10-24
SHB8634B	Volvo	46	2010-04-17
SHD8647H	Mercedes	46	2010-04-30
SHF8637M	Volvo	72	2010-05-23
SHG8632D	Volvo	46	2010-07-03
SHK8612G	Mercedes	46	2010-09-13
SHJ8623D	Volvo	46	2010-12-23
SHL8623M	Volvo	46	2011-02-08
SHM8656F	Mercedes	46	2011-05-19
SHO8654G	Volvo	46	2011-09-04
SHA8677H	Volvo	72	2011-12-14
SHR8688J	Volvo	46	2011-12-26
SHI5477U	Mercedes	72	2012-09-25
SHU5688J	Volvo	72	2013-06-21
SHG6376B	Mercedes	46	2013-07-21
SHM7775R	Volvo	46	2014-11-11
SHA5577B	Volvo	46	2014-11-23
SHV8788L	Volvo	72	2015-04-16
SHF4488N	Volvo	46	2015-10-11
SHE8833M	Mercedes	72	2015-11-27
SHI7722P	Volvo	72	2015-12-10
SHO4434V	Mercedes	46	2013-11-07
SHK9923K	Volvo	72	2013-12-26
SHL3332S	Mercedes	72	2014-05-12
SBS1869Q	Mercedes	72	2010-05-05
SBS3671H	Scania	72	2010-06-04
SBS8980A	Volvo	46	2010-06-23
SBS4789A	Volvo	72	2010-08-08
SBS1473K	Volvo	72	2011-03-01
SBS8491A	Mercedes	72	2011-12-02
SBS6068J	Volvo	46	2012-04-02
SBS4877X	Mercedes	46	2012-05-22
SBS1130P	Volvo	72	2012-06-04
SBS9104X	Mercedes	72	2012-11-01
SBS3914J	Mercedes	72	2012-12-12
SBS5842D	Scania	72	2013-02-16
SBS2037X	Scania	72	2013-08-04
SBS3845F	Scania	46	2013-09-02
SBS9679N	Scania	72	2013-10-22
SBS8580E	Scania	72	2014-02-28
SBS8944K	Scania	46	2014-09-12
SBS5749F	Scania	46	2014-10-20
SBS6367H	Scania	72	2014-12-30
SBS9673F	Scania	72	2015-05-09
SBS8684K	Scania	46	2015-08-16
SBS2011B	Scania	46	2015-09-16
SBS5983C	Mercedes	46	2015-09-17
SBS3228F	Mercedes	46	2015-10-04
SBS2574Q	Scania	72	2015-11-20
SBS8208E	Volvo	72	2010-03-01
SBS8334C	Volvo	72	2010-04-11
SBS5345R	Volvo	72	2010-05-16
SBS1452Q	Mercedes	72	2010-06-26
SBS8831B	Volvo	46	2010-09-08
SBS9762M	Mercedes	46	2010-11-10
SBS7782B	Volvo	72	2010-11-18
SBS3404A	Mercedes	72	2010-12-14
SBS9394J	Mercedes	46	2011-03-30
SBS3436H	Scania	72	2011-11-12
SBS1014A	Scania	72	2012-05-10
SBS4301G	Scania	46	2012-09-11
SBS4858H	Scania	72	2013-01-13
SBS9367A	Scania	72	2013-04-01
SBS8658M	Scania	46	2013-06-27
SBS1152F	Scania	72	2013-07-10
SBS7218M	Scania	72	2013-10-01
SBS7746Z	Mercedes	46	2013-12-07
SBS3950Q	Volvo	72	2014-11-09
SBS6157E	Mercedes	72	2015-08-21
SBS8049C	Volvo	46	2015-09-25
SBS9167R	Mercedes	72	2015-10-08
SBS4283T	Mercedes	72	2015-10-23
SBS3253R	Scania	46	2015-11-03
SBS8261R	Volvo	72	2015-11-12
SBS5014K	Volvo	46	2010-03-29
SBS4922G	Volvo	72	2010-08-19
SBS7929N	Mercedes	46	2010-10-03
SBS6209C	Volvo	72	2010-10-11
SBS7184M	Mercedes	72	2011-04-08
SBS6102U	Volvo	72	2011-11-01
SBS2416B	Mercedes	72	2011-11-10
SBS5992N	Mercedes	72	2011-12-01
SBS2814J	Scania	72	2012-05-08
SBS9492F	Scania	72	2012-07-03
SBS5690Q	Scania	46	2012-10-09
SBS4057N	Scania	46	2013-04-30
SBS8911H	Scania	72	2013-07-30
SBS3628C	Scania	46	2014-01-07
SBS6648R	Scania	46	2014-02-19
SBS2921G	Scania	46	2014-04-18
SBS3293P	Scania	72	2014-07-06
SBS5942N	Scania	72	2014-08-05
SBS8886U	Scania	72	2014-12-25
SBS5754S	Scania	46	2015-01-10
SBS7029P	Mercedes	46	2015-01-14
SBS5735S	Volvo	46	2015-03-04
SBS4325R	Mercedes	72	2015-05-30
SBS7666C	Volvo	46	2015-07-21
SBS2068G	Mercedes	72	2015-12-24
SBS6695U	Mercedes	72	2010-01-14
SBS9412Q	Scania	72	2010-03-18
SBS3450R	Volvo	72	2010-12-11
SBS8237A	Volvo	72	2010-12-21
SBS6524C	Volvo	46	2011-02-26
SBS9089K	Mercedes	72	2011-03-15
SBS7739L	Volvo	46	2011-06-20
SBS9888H	Scania	72	2011-07-18
SBS7403T	Scania	72	2011-08-24
SBS7216F	Mercedes	72	2011-12-03
SBS7411E	Volvo	46	2012-04-17
SBS3063S	Mercedes	72	2012-08-02
SBS3853T	Volvo	46	2012-08-25
SBS6230S	Mercedes	46	2012-11-25
SBS7290F	Mercedes	46	2012-11-27
SBS8788U	Scania	46	2013-09-30
SBS5231X	Volvo	72	2014-03-22
SBS9512L	Volvo	72	2014-03-27
SBS7822Q	Volvo	72	2014-06-13
SBS9216M	Mercedes	46	2014-08-11
SBS7387Z	Scania	46	2015-01-22
SBS1856D	Scania	72	2015-03-27
SBS4350E	Scania	72	2015-05-13
SBS9952E	Mercedes	72	2015-05-26
SBS1564K	Volvo	46	2015-07-11
