ServiceNumber	Direction	StopNumber	stoporder
9	1	99171	33
9	1	99161	34
9	1	95071	35
9	1	95081	36
9	1	95091	37
9	1	95131	38
9	1	95141	39
9	1	95061	40
9	1	95051	41
9	1	95041	42
9	1	95039	43
9	1	95049	44
9	1	95069	45
9	1	95149	46
9	1	95139	47
9	1	95099	48
9	1	95089	49
9	1	95079	50
9	1	99189	51
9	1	99049	52
9	1	99039	53
9	1	99029	54
9	1	99019	55
9	1	98079	56
9	1	98069	57
9	1	98059	58
9	1	98239	59
9	1	98049	60
9	1	98039	61
9	1	98029	62
9	1	98019	63
9	1	76249	64
9	1	76239	65
9	1	76109	66
9	1	96129	67
9	1	96189	68
9	1	96261	69
9	1	96161	70
9	1	96251	71
9	1	96109	72
9	1	85079	73
9	1	85089	74
9	1	85069	75
9	1	85059	76
9	1	85099	77
9	1	84069	78
9	1	84059	79
9	1	84049	80
9	1	84039	81
9	1	84009	82
21	1	77009	1
21	1	78109	2
21	1	78081	3
21	1	78071	4
21	1	78069	5
21	1	98099	6
21	1	98019	7
21	1	76249	8
21	1	76239	9
21	1	76229	10
21	1	76219	11
21	1	76209	12
21	1	76149	13
21	1	76139	14
21	1	76069	15
21	1	75059	16
21	1	75069	17
21	1	75349	18
21	1	84609	19
21	1	84639	20
21	1	84619	21
21	1	84629	22
21	1	84479	23
21	1	84469	24
21	1	84481	25
21	1	84491	26
21	1	72079	27
21	1	72069	28
21	1	72029	29
21	1	72019	30
21	1	83119	31
21	1	83109	32
21	1	82069	33
21	1	82049	34
21	1	82029	35
21	1	82109	36
21	1	81069	37
21	1	81049	38
21	1	81029	39
21	1	80089	40
21	1	80069	41
21	1	80049	42
21	1	80101	43
21	1	60051	44
21	1	60099	45
21	1	07329	46
21	1	07319	47
21	1	07231	48
21	1	07211	49
21	1	07221	50
21	1	50249	51
21	1	50239	52
21	1	50129	53
21	1	50119	54
21	1	50031	55
21	1	50041	56
21	1	50161	57
21	1	50171	58
21	1	50191	59
21	1	50201	60
21	1	50211	61
21	1	50991	62
21	1	52129	63
21	1	52049	64
21	1	52119	65
21	1	52499	66
21	2	52499	1
21	2	52451	2
21	2	52129	3
21	2	52049	4
21	2	52119	5
21	2	52099	6
21	2	50159	7
21	2	50209	8
21	2	50199	9
21	2	50189	10
21	2	50179	11
21	2	50169	12
21	2	50059	13
21	2	50049	14
21	2	50038	15
21	2	50111	16
21	2	50121	17
21	2	50231	18
21	2	50331	19
21	2	50349	20
21	2	60199	21
21	2	60059	22
21	2	80109	23
21	2	80051	24
21	2	80071	25
21	2	80091	26
21	2	81011	27
21	2	81031	28
21	2	81051	29
21	2	82011	30
21	2	82032	31
21	2	82061	32
21	2	83101	33
21	2	83111	34
21	2	72011	35
21	2	72021	36
21	2	72061	37
21	2	72071	38
21	2	84499	39
21	2	84489	40
21	2	84461	41
21	2	84471	42
21	2	84621	43
21	2	84611	44
21	2	84631	45
21	2	84601	46
21	2	75341	47
21	2	75061	48
21	2	75051	49
21	2	76061	50
21	2	76131	51
21	2	76141	52
21	2	76201	53
21	2	76211	54
21	2	76221	55
21	2	76231	56
21	2	76241	57
21	2	98011	58
21	2	98091	59
21	2	78051	60
21	2	78061	61
21	2	78079	62
21	2	78089	63
21	2	78101	64
21	2	77009	65
35	1	84009	1
35	1	84031	2
35	1	84041	3
35	1	84051	4
35	1	84061	5
35	1	85091	6
35	1	85101	7
35	1	96011	8
35	1	96229	9
35	1	96239	10
35	1	96249	11
35	1	96219	12
35	1	95161	13
35	1	95171	14
35	1	95181	15
35	1	95191	16
35	1	95189	17
35	1	95179	18
35	1	95169	19
35	1	96219	20
35	1	96241	21
35	1	96271	22
35	1	96231	23
35	1	96221	24
35	1	96019	25
35	1	85109	26
35	1	85099	27
35	1	84069	28
35	1	84059	29
35	1	84049	30
35	1	84039	31
35	1	84009	32
38	1	75009	1
38	1	76191	2
38	1	76201	3
38	1	76211	4
38	1	76221	5
38	1	76109	6
38	1	96129	7
38	1	96139	8
38	1	96149	9
38	1	96159	10
38	1	96169	11
38	1	96171	12
38	1	96291	13
38	1	96209	14
38	1	96039	15
38	1	96029	16
38	1	96019	17
38	1	85109	18
38	1	85099	19
38	1	84101	20
38	1	84071	21
38	1	84081	22
38	1	84141	23
38	1	84111	24
38	1	84121	25
38	1	84131	26
38	1	84009	27
38	2	84009	1
38	2	84139	2
38	2	84129	3
38	2	84119	4
38	2	84149	5
38	2	84089	6
38	2	84079	7
38	2	84109	8
38	2	85091	9
38	2	85101	10
38	2	96011	11
38	2	96021	12
38	2	96031	13
38	2	96201	14
38	2	96299	15
38	2	96179	16
38	2	96161	17
38	2	96151	18
38	2	96141	19
38	2	96131	20
38	2	96121	21
38	2	76101	22
38	2	76229	23
38	2	76219	24
38	2	76209	25
38	2	76199	26
38	2	75009	27
39	1	75009	1
39	1	76059	2
39	1	76069	3
39	1	76071	4
39	1	76081	5
39	1	76091	6
39	1	76101	7
39	1	76231	8
39	1	76241	9
39	1	98011	10
39	1	98091	11
39	1	78051	12
39	1	78061	13
39	1	77051	14
39	1	77041	15
39	1	77031	16
39	1	77021	17
39	1	77011	18
39	1	77241	19
39	1	77231	20
39	1	77281	21
39	1	77331	22
39	1	65191	23
39	1	68119	24
39	1	55281	25
39	1	59011	26
39	1	59021	27
39	1	59031	28
39	1	59041	29
39	1	59051	30
39	1	59061	31
39	1	59671	32
39	1	59009	33
39	2	59009	1
39	2	59073	2
39	2	59069	3
39	2	59059	4
39	2	59049	5
39	2	59039	6
39	2	59029	7
39	2	59019	8
39	2	55289	9
39	2	68111	10
39	2	65199	11
39	2	77339	12
39	2	77289	13
39	2	77239	14
39	2	77249	15
39	2	78049	16
39	2	77019	17
39	2	77029	18
39	2	77039	19
39	2	77049	20
39	2	77059	21
39	2	78069	22
39	2	98099	23
39	2	98019	24
39	2	76249	25
39	2	76239	26
39	2	76109	27
39	2	76099	28
39	2	76089	29
39	2	76079	30
39	2	76061	31
39	2	76051	32
39	2	75009	33
56	1	53009	1
56	1	53279	2
56	1	53289	3
56	1	53251	4
56	1	53221	5
56	1	53211	6
56	1	52021	7
56	1	52031	8
56	1	52361	9
56	1	52279	10
56	1	52239	11
56	1	52189	12
56	1	52079	13
56	1	50059	14
56	1	50049	15
56	1	50038	16
56	1	50029	17
56	1	50019	18
56	1	40109	19
56	1	40019	20
56	1	07539	21
56	1	07518	22
56	1	07569	23
56	1	01639	24
56	1	01619	25
56	1	02089	26
56	2	02099	1
56	2	02101	2
56	2	02051	3
56	2	02061	4
56	2	01611	5
56	2	01631	6
56	2	07561	7
56	2	07571	8
56	2	07021	9
56	2	40011	10
56	2	40101	11
56	2	50011	12
56	2	50021	13
56	2	50031	14
56	2	50041	15
56	2	50051	16
56	2	51011	17
56	2	52071	18
56	2	52181	19
56	2	52231	20
56	2	52271	21
56	2	52369	22
56	2	52039	23
56	2	53219	24
56	2	53229	25
56	2	53259	26
56	2	53281	27
56	2	53271	28
56	2	53009	29
60	1	82009	1
60	1	82061	2
60	1	83101	3
60	1	83111	4
60	1	72011	5
60	1	72021	6
60	1	72061	7
60	1	72071	8
60	1	84501	9
60	1	84511	10
60	1	84499	11
60	1	84489	12
60	1	84459	13
60	1	84361	14
60	1	84309	15
60	1	84301	16
60	1	84369	17
60	1	84451	18
60	1	84481	19
60	1	84491	20
60	1	84501	21
60	1	84511	22
60	1	72079	23
60	1	72069	24
60	1	72029	25
60	1	72019	26
60	1	83119	27
60	1	83109	28
60	1	82069	29
60	1	82221	30
60	1	82009	31
63	1	82009	1
63	1	82061	2
63	1	83101	3
63	1	83111	4
63	1	72011	5
63	1	71099	6
63	1	71139	7
63	1	71101	8
63	1	71111	9
63	1	71201	10
63	1	71211	11
63	1	71221	12
63	1	71169	13
63	1	70391	14
63	1	70201	15
63	1	70211	16
63	1	70221	17
63	1	70231	18
63	1	70241	19
63	1	70019	20
63	1	81099	21
63	1	81089	22
63	1	80089	23
63	1	80069	24
63	1	80049	25
63	1	80039	26
63	1	80029	27
63	1	01339	28
63	1	01329	29
63	1	01229	30
63	1	01139	31
63	1	01039	32
63	1	01029	33
63	1	04168	34
63	1	04249	35
63	1	05029	36
63	1	05199	37
63	1	05131	38
63	1	05039	39
63	1	05019	40
63	1	06011	41
63	1	06051	42
63	1	10141	43
63	1	10151	44
63	1	10161	45
63	1	10171	46
63	1	10181	47
63	1	10191	48
63	1	10481	49
63	1	10459	50
63	1	10429	51
63	1	10419	52
63	1	10409	53
63	1	10599	54
63	1	10401	55
63	1	10411	56
63	1	10421	57
63	1	10451	58
63	1	10489	59
63	1	10199	60
63	1	10189	61
63	1	10179	62
63	1	10169	63
63	1	10149	64
63	1	06049	65
63	1	06029	66
63	1	05013	67
63	1	05023	68
63	1	04222	69
63	1	04142	70
63	1	01012	71
63	1	01112	72
63	1	01121	73
63	1	01211	74
63	1	01311	75
63	1	80011	76
63	1	80031	77
63	1	80051	78
63	1	80071	79
63	1	80091	80
63	1	81081	81
63	1	81091	82
63	1	70011	83
63	1	70151	84
63	1	70161	85
63	1	70171	86
63	1	70181	87
63	1	70191	88
63	1	71161	89
63	1	71229	90
63	1	71219	91
63	1	71209	92
63	1	71119	93
63	1	71109	94
63	1	71131	95
63	1	71091	96
63	1	72019	97
63	1	83119	98
63	1	83109	99
63	1	82069	100
63	1	82221	101
63	1	82009	102
74	1	64009	1
74	1	64041	2
74	1	64051	3
74	1	64071	4
74	1	64039	5
74	1	64369	6
74	1	64359	7
74	1	64349	8
74	1	63379	9
74	1	63389	10
74	1	63399	11
74	1	63319	12
74	1	66109	13
74	1	66339	14
74	1	66349	15
74	1	54309	16
74	1	54299	17
74	1	54289	18
74	1	54279	19
74	1	54269	20
74	1	54248	21
74	1	54019	22
74	1	53169	23
74	1	53159	24
74	1	53149	25
74	1	53139	26
74	1	53019	27
74	1	51079	28
74	1	51119	29
74	1	40269	30
74	1	40259	31
74	1	41159	32
74	1	41149	33
74	1	41139	34
74	1	41129	35
74	1	41031	36
74	1	41041	37
74	1	41051	38
74	1	41061	39
74	1	41071	40
74	1	41081	41
74	1	42011	42
74	1	42021	43
74	1	42031	44
74	1	42041	45
74	1	42051	46
74	1	42061	47
74	1	42149	48
74	1	12109	49
74	1	12099	50
74	1	12089	51
74	1	12079	52
74	1	12069	53
74	1	17119	54
74	1	17109	55
74	1	19049	56
74	1	19039	57
74	1	19029	58
74	1	19099	59
74	1	19071	60
74	1	19081	61
74	1	18111	62
74	1	18141	63
74	1	11361	64
74	1	11189	65
74	1	11379	66
74	2	11379	1
74	2	11381	2
74	2	11181	3
74	2	11369	4
74	2	18149	5
74	2	18119	6
74	2	19089	7
74	2	19091	8
74	2	19021	9
74	2	19031	10
74	2	19041	11
74	2	17101	12
74	2	17111	13
74	2	12061	14
74	2	12071	15
74	2	12081	16
74	2	12091	17
74	2	12101	18
74	2	42141	19
74	2	42059	20
74	2	42049	21
74	2	42039	22
74	2	42029	23
74	2	42019	24
74	2	41089	25
74	2	41079	26
74	2	41069	27
74	2	41049	28
74	2	41121	29
74	2	41131	30
74	2	41141	31
74	2	41151	32
74	2	40251	33
74	2	40261	34
74	2	51111	35
74	2	51071	36
74	2	53011	37
74	2	53121	38
74	2	53131	39
74	2	53141	40
74	2	53151	41
74	2	53161	42
74	2	54011	43
74	2	54241	44
74	2	54261	45
74	2	54271	46
74	2	54281	47
74	2	54291	48
74	2	54301	49
74	2	66341	50
74	2	66331	51
74	2	66101	52
74	2	63311	53
74	2	63391	54
74	2	63381	55
74	2	63371	56
74	2	64341	57
74	2	64351	58
74	2	64361	59
74	2	64031	60
74	2	64079	61
74	2	64059	62
74	2	64049	63
74	2	64009	64
75	1	45009	1
75	1	44251	2
75	1	44639	3
75	1	44201	4
75	1	44211	5
75	1	43139	6
75	1	43129	7
75	1	43099	8
75	1	43089	9
75	1	43069	10
75	1	43059	11
75	1	43049	12
75	1	43029	13
75	1	43019	14
75	1	42119	15
75	1	42109	16
75	1	42089	17
75	1	42149	18
75	1	12109	19
75	1	12099	20
75	1	12089	21
75	1	12079	22
75	1	12069	23
75	1	12119	24
75	1	12059	25
75	1	12049	26
75	1	12039	27
75	1	12029	28
75	1	11299	29
75	1	11289	30
75	1	11279	31
75	1	11269	32
75	1	11239	33
75	1	11229	34
75	1	11219	35
75	1	11209	36
75	1	13029	37
75	1	13019	38
75	1	09139	39
75	1	13189	40
75	1	13179	41
75	1	13169	42
75	1	13159	43
75	1	13139	44
75	1	13119	45
75	1	06129	46
75	1	06069	47
75	1	06049	48
75	1	06029	49
75	1	05519	50
75	1	05629	51
75	1	03222	52
75	1	03111	53
75	1	03031	54
75	1	03011	55
75	1	02111	56
75	1	02089	57
75	2	02099	1
75	2	02101	2
75	2	02051	3
75	2	02061	4
75	2	02029	5
75	2	03019	6
75	2	03059	7
75	2	03129	8
75	2	03218	9
75	2	05631	10
75	2	05521	11
75	2	06011	12
75	2	06051	13
75	2	06071	14
75	2	06081	15
75	2	06131	16
75	2	13121	17
75	2	13141	18
75	2	13171	19
75	2	13181	20
75	2	09131	21
75	2	09141	22
75	2	13011	23
75	2	13021	24
75	2	11201	25
75	2	11211	26
75	2	11221	27
75	2	11231	28
75	2	11261	29
75	2	11271	30
75	2	11281	31
75	2	11291	32
75	2	12021	33
75	2	12031	34
75	2	12041	35
75	2	12051	36
75	2	12111	37
75	2	12061	38
75	2	12071	39
75	2	12081	40
75	2	12091	41
75	2	12101	42
75	2	42141	43
75	2	42071	44
75	2	42091	45
75	2	42111	46
75	2	43011	47
75	2	43021	48
75	2	43041	49
75	2	43051	50
75	2	43061	51
75	2	43071	52
75	2	43081	53
75	2	43121	54
75	2	43131	55
75	2	44219	56
75	2	44209	57
75	2	44631	58
75	2	44259	59
76	1	55509	1
76	1	55159	2
76	1	55149	3
76	1	55139	4
76	1	54209	5
76	1	54199	6
76	1	54189	7
76	1	54221	8
76	1	54231	9
76	1	54241	10
76	1	54261	11
76	1	54271	12
76	1	54281	13
76	1	54291	14
76	1	54301	15
76	1	66341	16
76	1	66331	17
76	1	66101	18
76	1	63219	19
76	1	63209	20
76	1	63199	21
76	1	63189	22
76	1	63179	23
76	1	63369	24
76	1	63149	25
76	1	62059	26
76	1	62049	27
76	1	62039	28
76	1	62029	29
76	1	62019	30
76	1	70309	31
76	1	70299	32
76	1	70289	33
76	1	70279	34
76	1	70269	35
76	1	70259	36
76	1	81101	37
76	1	81111	38
76	1	82011	39
76	1	82032	40
76	1	82009	41
76	2	82009	1
76	2	82229	2
76	2	82049	3
76	2	82029	4
76	2	82109	5
76	2	81129	6
76	2	81119	7
76	2	81109	8
76	2	70251	9
76	2	70261	10
76	2	70271	11
76	2	70281	12
76	2	70291	13
76	2	70301	14
76	2	62011	15
76	2	62021	16
76	2	62031	17
76	2	62041	18
76	2	62051	19
76	2	63141	20
76	2	63361	21
76	2	63181	22
76	2	63191	23
76	2	63201	24
76	2	63211	25
76	2	66109	26
76	2	66339	27
76	2	66349	28
76	2	54309	29
76	2	54299	30
76	2	54289	31
76	2	54279	32
76	2	54269	33
76	2	54248	34
76	2	54239	35
76	2	54229	36
76	2	54181	37
76	2	54191	38
76	2	54201	39
76	2	55131	40
76	2	55141	41
76	2	55151	42
76	2	55189	43
76	2	55509	44
96	1	17009	1
96	1	17239	2
96	1	17159	3
96	1	17099	4
96	1	16159	5
96	1	16149	6
96	1	16199	7
96	1	16189	8
96	1	16179	9
96	1	16169	10
96	1	17091	11
96	1	17151	12
96	1	17161	13
96	1	17171	14
96	1	17009	15
107	1	64009	1
107	1	64391	2
107	1	63351	3
107	1	63341	4
107	1	63059	5
107	1	63049	6
107	1	63039	7
107	1	63029	8
107	1	63019	9
107	1	62149	10
107	1	62139	11
107	1	62129	12
107	1	62119	13
107	1	61049	14
107	1	61039	15
107	1	61029	16
107	1	61019	17
107	1	60269	18
107	1	60209	19
107	1	60179	20
107	1	60221	21
107	1	60039	22
107	1	60029	23
107	1	60019	24
107	1	07369	25
107	1	07379	26
107	1	01319	27
107	1	01219	28
107	1	01239	29
107	1	01529	30
107	1	01519	31
107	1	01629	32
107	1	01619	33
107	1	02029	34
107	1	03019	35
107	1	03059	36
107	1	03129	37
107	1	03218	38
107	1	03219	39
107	1	03239	40
107	2	03239	1
107	2	03211	2
107	2	03222	3
107	2	03111	4
107	2	03031	5
107	2	03011	6
107	2	02111	7
107	2	01611	8
107	2	01621	9
107	2	01511	10
107	2	01521	11
107	2	01231	12
107	2	01211	13
107	2	01311	14
107	2	07371	15
107	2	60011	16
107	2	60021	17
107	2	60031	18
107	2	60229	19
107	2	60159	20
107	2	60161	21
107	2	60201	22
107	2	60261	23
107	2	61011	24
107	2	61021	25
107	2	61031	26
107	2	61041	27
107	2	62111	28
107	2	62121	29
107	2	62131	30
107	2	62141	31
107	2	63011	32
107	2	63021	33
107	2	63031	34
107	2	63041	35
107	2	63051	36
107	2	63349	37
107	2	63359	38
107	2	64399	39
107	2	64009	40
124	1	52499	1
124	1	52451	2
124	1	52129	3
124	1	52109	4
124	1	52099	5
124	1	50159	6
124	1	50211	7
124	1	50221	8
124	1	50129	9
124	1	50119	10
124	1	50069	11
124	1	40129	12
124	1	40189	13
124	1	40179	14
124	1	09219	15
124	1	09047	16
124	1	09037	17
124	1	08138	18
124	1	08057	19
124	1	08069	20
124	1	04167	21
124	1	04249	22
124	1	05029	23
124	1	05199	24
124	1	05131	25
124	1	05039	26
124	1	05019	27
124	1	05069	28
124	1	10011	29
124	1	10041	30
124	1	10399	31
124	1	14221	32
124	1	14231	33
124	1	14021	34
124	1	14379	35
124	1	14291	36
124	1	14271	37
124	1	14281	38
124	1	14059	39
124	1	14349	40
124	1	14339	41
124	1	14399	42
124	1	14499	43
124	1	14359	44
124	1	14159	45
124	1	14139	46
124	1	14009	47
124	2	14009	1
124	2	14131	2
124	2	14151	3
124	2	14351	4
124	2	14491	5
124	2	14391	6
124	2	14331	7
124	2	14341	8
124	2	14051	9
124	2	14279	10
124	2	14299	11
124	2	14029	12
124	2	14239	13
124	2	14229	14
124	2	10391	15
124	2	10049	16
124	2	10039	17
124	2	10018	18
124	2	05012	19
124	2	05022	20
124	2	05023	21
124	2	04222	22
124	2	04223	23
124	2	04143	24
124	2	04121	25
124	2	08041	26
124	2	08031	27
124	2	08111	28
124	2	08121	29
124	2	09011	30
124	2	09023	31
124	2	09212	32
124	2	40171	33
124	2	40181	34
124	2	40121	35
124	2	50061	36
124	2	50111	37
124	2	50121	38
124	2	50229	39
124	2	50991	40
124	2	52129	41
124	2	52109	42
124	2	52499	43
131	1	52499	1
131	1	52451	2
131	1	52129	3
131	1	52109	4
131	1	52099	5
131	1	50159	6
131	1	50209	7
131	1	50199	8
131	1	50189	9
131	1	50179	10
131	1	50169	11
131	1	50059	12
131	1	50049	13
131	1	50038	14
131	1	50029	15
131	1	50079	16
131	1	50089	17
131	1	50321	18
131	1	50351	19
131	1	40109	20
131	1	40019	21
131	1	07539	22
131	1	07517	23
131	1	07571	24
131	1	04189	25
131	1	04179	26
131	1	02049	27
131	1	02029	28
131	1	03019	29
131	1	03059	30
131	1	03129	31
131	1	03217	32
131	1	05649	33
131	1	14061	34
131	1	14071	35
131	1	14081	36
131	1	14101	37
131	1	14141	38
131	1	14121	39
131	1	14131	40
131	1	14151	41
131	1	14041	42
131	1	14051	43
131	1	14279	44
131	1	14299	45
131	1	14389	46
131	1	14381	47
131	1	14031	48
131	1	10361	49
131	1	10081	50
131	1	10009	51
131	2	10009	1
131	2	10089	2
131	2	10369	3
131	2	14039	4
131	2	14389	5
131	2	14381	6
131	2	14291	7
131	2	14271	8
131	2	14281	9
131	2	14059	10
131	2	14049	11
131	2	14159	12
131	2	14139	13
131	2	14129	14
131	2	14119	15
131	2	14109	16
131	2	14089	17
131	2	14069	18
131	2	05641	19
131	2	03223	20
131	2	03151	21
131	2	03021	22
131	2	03011	23
131	2	02111	24
131	2	04111	25
131	2	04121	26
131	2	08079	27
131	2	07011	28
131	2	07021	29
131	2	07031	30
131	2	07111	31
131	2	50251	32
131	2	50261	33
131	2	50301	34
131	2	50081	35
131	2	50071	36
131	2	50021	37
131	2	50031	38
131	2	50041	39
131	2	50161	40
131	2	50171	41
131	2	50191	42
131	2	50201	43
131	2	50211	44
131	2	50991	45
131	2	52129	46
131	2	52109	47
131	2	52499	48
153	1	10009	1
153	1	10659	2
153	1	10101	3
153	1	10111	4
153	1	10131	5
153	1	11021	6
153	1	11031	7
153	1	11041	8
153	1	11051	9
153	1	11061	10
153	1	11071	11
153	1	11081	12
153	1	11091	13
153	1	11101	14
153	1	11111	15
153	1	41101	16
153	1	41111	17
153	1	41029	18
153	1	41019	19
153	1	40099	20
153	1	40231	21
153	1	51091	22
153	1	51101	23
153	1	52071	24
153	1	52181	25
153	1	52231	26
153	1	52271	27
153	1	52369	28
153	1	52051	29
153	1	52061	30
153	1	66061	31
153	1	66071	32
153	1	66081	33
153	1	62111	34
153	1	62121	35
153	1	62131	36
153	1	62141	37
153	1	63011	38
153	1	63021	39
153	1	63031	40
153	1	63041	41
153	1	63051	42
153	1	63061	43
153	1	64011	44
153	1	64009	45
153	2	64009	1
153	2	64019	2
153	2	63069	3
153	2	63059	4
153	2	63049	5
153	2	63039	6
153	2	63029	7
153	2	63019	8
153	2	62149	9
153	2	62139	10
153	2	62129	11
153	2	62119	12
153	2	66089	13
153	2	66079	14
153	2	66069	15
153	2	52069	16
153	2	52059	17
153	2	52361	18
153	2	52279	19
153	2	52239	20
153	2	52189	21
153	2	52079	22
153	2	51099	23
153	2	40249	24
153	2	40239	25
153	2	40091	26
153	2	41011	27
153	2	41021	28
153	2	41119	29
153	2	41109	30
153	2	11119	31
153	2	11109	32
153	2	11099	33
153	2	11089	34
153	2	11079	35
153	2	11069	36
153	2	11059	37
153	2	11049	38
153	2	11039	39
153	2	11029	40
153	2	11019	41
153	2	10139	42
153	2	10119	43
153	2	10651	44
153	2	10009	45
165	1	64009	1
165	1	64551	2
165	1	64529	3
165	1	64339	4
165	1	63379	5
165	1	63389	6
165	1	63399	7
165	1	63319	8
165	1	66109	9
165	1	66339	10
165	1	66349	11
165	1	54309	12
165	1	54299	13
165	1	54289	14
165	1	54279	15
165	1	54269	16
165	1	54248	17
165	1	54239	18
165	1	54229	19
165	1	54219	20
165	1	54069	21
165	1	56269	22
165	1	53099	23
165	1	53089	24
165	1	53079	25
165	1	53069	26
165	1	53059	27
165	1	53049	28
165	1	53039	29
165	1	53029	30
165	1	53019	31
165	1	51079	32
165	1	51119	33
165	1	40269	34
165	1	40259	35
165	1	41159	36
165	1	41149	37
165	1	41139	38
165	1	41129	39
165	1	41119	40
165	1	41109	41
165	1	11119	42
165	1	11109	43
165	1	11099	44
165	1	11231	45
165	1	11261	46
165	1	11271	47
165	1	11281	48
165	1	11291	49
165	1	12021	50
165	1	12031	51
165	1	12041	52
165	1	12051	53
165	1	12111	54
165	1	17119	55
165	1	17109	56
165	1	17151	57
165	1	17161	58
165	1	17171	59
165	1	17009	60
165	2	17009	1
165	2	17239	2
165	2	17159	3
165	2	17101	4
165	2	12119	5
165	2	12059	6
165	2	12049	7
165	2	12039	8
165	2	12029	9
165	2	11299	10
165	2	11289	11
165	2	11279	12
165	2	11269	13
165	2	11239	14
165	2	11091	15
165	2	11101	16
165	2	11111	17
165	2	41101	18
165	2	41111	19
165	2	41121	20
165	2	41131	21
165	2	41141	22
165	2	41151	23
165	2	40251	24
165	2	40261	25
165	2	51111	26
165	2	51071	27
165	2	53011	28
165	2	53021	29
165	2	53041	30
165	2	53051	31
165	2	53061	32
165	2	53071	33
165	2	53081	34
165	2	53091	35
165	2	56261	36
165	2	54061	37
165	2	54211	38
165	2	54221	39
165	2	54231	40
165	2	54241	41
165	2	54261	42
165	2	54271	43
165	2	54281	44
165	2	54291	45
165	2	54301	46
165	2	66341	47
165	2	66331	48
165	2	66101	49
165	2	63311	50
165	2	63391	51
165	2	63381	52
165	2	63371	53
165	2	64331	54
165	2	64521	55
165	2	64559	56
165	2	64009	57
186	1	03239	1
186	1	03211	2
186	1	03223	3
186	1	03151	4
186	1	03041	5
186	1	05131	6
186	1	06171	7
186	1	06161	8
186	1	06151	9
186	1	06141	10
186	1	10221	11
186	1	10231	12
186	1	10241	13
186	1	10261	14
186	1	10271	15
186	1	10281	16
186	1	10291	17
186	1	11131	18
186	1	11141	19
186	1	11151	20
186	1	11061	21
186	1	11071	22
186	1	11081	23
186	1	11091	24
186	1	11101	25
186	1	11111	26
186	1	41101	27
186	1	41111	28
186	1	41029	29
186	1	41019	30
186	1	40099	31
186	1	40231	32
186	1	51091	33
186	1	51101	34
186	1	51019	35
186	1	50161	36
186	1	50171	37
186	1	50191	38
186	1	50201	39
186	1	50211	40
186	1	50991	41
186	1	52129	42
186	1	52109	43
186	1	52499	44
186	2	52499	1
186	2	52451	2
186	2	52129	3
186	2	52109	4
186	2	52099	5
186	2	50159	6
186	2	50209	7
186	2	50199	8
186	2	50189	9
186	2	50179	10
186	2	50169	11
186	2	51109	12
186	2	51099	13
186	2	40249	14
186	2	40239	15
186	2	40091	16
186	2	41011	17
186	2	41021	18
186	2	41119	19
186	2	41109	20
186	2	11119	21
186	2	11109	22
186	2	11099	23
